epoch,train_loss,val_loss
1,-15.133479948043822,-18.926944946289062
2,-18.49263515472412,-19.118105529785158
3,-18.88521041870117,-19.161461181640625
4,-18.917726917266847,-19.181441162109376
5,-18.952138957977294,-19.186727111816406
6,-18.96796058654785,-19.188240356445313
7,-18.98241304397583,-19.187910705566406
8,-18.997499732971193,-19.18527020263672
9,-19.011481189727782,-19.181119873046875
10,-19.02426164627075,-19.177674560546876
11,-19.0353041267395,-19.17915625
12,-19.044514064788817,-19.174486755371095
13,-19.052774543762208,-19.18507244873047
14,-19.057753009796144,-19.180826354980468
15,-19.064619789123537,-19.180921630859373
16,-19.066319618225098,-19.18332189941406
17,-19.074876918792725,-19.181788146972657
18,-19.081568908691406,-19.180094970703124
19,-19.08456760406494,-19.179353637695314
20,-19.090923023223876,-19.18312939453125
21,-19.093315105438233,-19.183527282714845
22,-19.098476390838623,-19.1823994140625
23,-19.099175128936768,-19.184956909179686
24,-19.103450832366942,-19.178639282226563
25,-19.10649980545044,-19.186224731445314
26,-19.109035358428955,-19.18921923828125
27,-19.10986499786377,-19.1903662109375
28,-19.113040084838868,-19.190861450195314
29,-19.112309055328367,-19.19078662109375
30,-19.116119899749755,-19.19176403808594
31,-19.117578086853026,-19.189300537109375
32,-19.118015327453612,-19.19126495361328
33,-19.12034965515137,-19.190418273925783
34,-19.119754524230956,-19.1923369140625
35,-19.12148328781128,-19.18991473388672
36,-19.124195995330812,-19.19084130859375
37,-19.124555072784425,-19.191472229003907
38,-19.125771598815916,-19.18941015625
39,-19.125704326629638,-19.1908232421875
40,-19.126287479400634,-19.191628662109373
41,-19.126396293640138,-19.191329345703124
42,-19.129024066925048,-19.190666687011717
43,-19.12921577453613,-19.190614013671876
44,-19.129422874450682,-19.190310607910156
45,-19.129896774291993,-19.190664916992187
46,-19.13125862121582,-19.191716186523436
47,-19.131476078033447,-19.190530029296873
48,-19.1324843788147,-19.18897497558594
49,-19.132346935272217,-19.191924377441406
50,-19.133072395324707,-19.1904775390625
51,-19.133846168518065,-19.191596923828126
52,-19.13436876296997,-19.189803466796874
53,-19.134283809661866,-19.191044555664064
54,-19.13497362136841,-19.19228302001953
55,-19.135653285980226,-19.19028088378906
56,-19.136323280334473,-19.191349670410155
57,-19.137263832092284,-19.19170281982422
58,-19.1373415184021,-19.192275512695314
59,-19.137638549804688,-19.19186895751953
60,-19.13819103240967,-19.19224346923828
61,-19.13777479171753,-19.192342895507814
62,-19.13865915298462,-19.19016052246094
63,-19.139523258209227,-19.19240576171875
64,-19.140510272979736,-19.192012634277344
65,-19.140184497833253,-19.191523803710936
66,-19.139821968078614,-19.191684204101563
67,-19.141487827301024,-19.192224304199218
68,-19.141840000152587,-19.19041229248047
69,-19.141844062805177,-19.19181219482422
70,-19.142049198150634,-19.19206689453125
71,-19.142568912506103,-19.19143603515625
72,-19.142594509124756,-19.190571716308593
73,-19.143173141479494,-19.192152893066407
74,-19.142638168334962,-19.191376525878905
75,-19.143262481689455,-19.192317749023438
76,-19.142181358337403,-19.192267211914064
77,-19.143828296661376,-19.1912900390625
78,-19.143055667877196,-19.192075317382812
79,-19.14522554397583,-19.191985656738282
80,-19.142325668334962,-19.190274658203126
81,-19.144327220916747,-19.192134643554688
82,-19.144501724243163,-19.191665710449218
83,-19.14513921737671,-19.19199072265625
84,-19.144792556762695,-19.19109942626953
85,-19.145868053436278,-19.19163525390625
86,-19.14559488296509,-19.192348693847656
87,-19.14751489639282,-19.19237091064453
88,-19.145321464538576,-19.19171960449219
89,-19.14717014312744,-19.192256713867188
90,-19.147531852722167,-19.192255920410155
91,-19.14730052947998,-19.192237182617188
92,-19.146844997406006,-19.19154510498047
93,-19.147069816589354,-19.191664306640625
94,-19.147851314544678,-19.192176635742186
95,-19.147417888641357,-19.192101928710937
96,-19.150183849334717,-19.19240869140625
97,-19.148342838287352,-19.191568420410157
98,-19.14951976776123,-19.19221563720703
99,-19.14774606704712,-19.191463500976564
100,-19.148153400421144,-19.19226281738281
101,-19.149398288726807,-19.191061889648438
102,-19.149142990112306,-19.192019897460938
103,-19.14968545913696,-19.192314636230467
104,-19.149867572784423,-19.192407287597657
105,-19.150958557128906,-19.191878295898437
106,-19.150513553619383,-19.19235900878906
107,-19.150900573730468,-19.192302978515624
108,-19.149795665740967,-19.19218670654297
109,-19.15182704925537,-19.192229248046875
110,-19.15080057144165,-19.1916201171875
111,-19.150877532958983,-19.192378356933595
112,-19.15074453353882,-19.192422912597657
113,-19.15215845108032,-19.191820007324218
114,-19.150602321624756,-19.192108459472657
115,-19.151140804290772,-19.192121032714844
116,-19.15199192047119,-19.192120544433592
117,-19.152240924835205,-19.192051818847656
118,-19.151969146728515,-19.192337036132812
119,-19.151734123229982,-19.191264587402344
120,-19.152655410766602,-19.1922314453125
121,-19.153915786743163,-19.191966979980467
122,-19.153046798706054,-19.191856079101562
123,-19.153551235198975,-19.19134503173828
124,-19.15378370285034,-19.192017639160156
125,-19.15319009780884,-19.19229315185547
126,-19.153979187011718,-19.192232055664064
127,-19.152086715698243,-19.192192016601563
128,-19.15370111465454,-19.1922314453125
129,-19.154655418395997,-19.191853088378906
130,-19.154192390441896,-19.192018005371093
131,-19.154224815368654,-19.191888122558595
132,-19.154261951446532,-19.191148803710938
133,-19.153981552124023,-19.192010620117188
134,-19.154406967163087,-19.19241455078125
135,-19.154782371520994,-19.19166961669922
136,-19.154926204681395,-19.192364990234374
137,-19.155001602172852,-19.19175225830078
138,-19.154766368865968,-19.191980285644533
139,-19.15505043029785,-19.192372192382813
140,-19.15549207687378,-19.19224151611328
141,-19.153226146698,-19.19213671875
142,-19.149268226623533,-19.191734436035155
143,-19.156522426605225,-19.192024169921876
144,-19.15475332260132,-19.191567016601564
145,-19.153378944396973,-19.192316711425782
146,-19.150826206207274,-19.191500549316405
147,-19.155565242767334,-19.191689025878905
148,-19.152626953125,-19.19148388671875
149,-19.15639274597168,-19.192388610839842
150,-19.156478309631346,-19.192337219238283
151,-19.15648500442505,-19.190390380859377
152,-19.156465396881103,-19.19228582763672
153,-19.15570125579834,-19.19227801513672
154,-19.15585241317749,-19.192426635742187
155,-19.155887794494628,-19.19238311767578
156,-19.15829113006592,-19.19239990234375
157,-19.156941566467285,-19.191186279296875
158,-19.15547555923462,-19.19218212890625
159,-19.15641357421875,-19.19177374267578
160,-19.156809158325196,-19.191685791015626
161,-19.157908840179445,-19.192225952148437
162,-19.156369609832765,-19.192274963378907
163,-19.156349468231202,-19.191932495117186
164,-19.15779727935791,-19.19188610839844
165,-19.15651407241821,-19.191786804199218
166,-19.15610200881958,-19.19213916015625
167,-19.15703281402588,-19.192000366210937
168,-19.156623039245606,-19.192357971191406
169,-19.15735704421997,-19.19162615966797
170,-19.158033084869384,-19.19234851074219
171,-19.157433032989502,-19.192125366210938
172,-19.157421073913575,-19.19177001953125
173,-19.157418479919432,-19.192071166992186
174,-19.156558227539062,-19.19215734863281
175,-19.15728748321533,-19.192203979492188
176,-19.157901344299315,-19.192326293945314
177,-19.15793905258179,-19.191214294433593
178,-19.15869609832764,-19.192248413085938
179,-19.15858757019043,-19.192059326171876
180,-19.157917537689208,-19.192187316894533
181,-19.15767107009888,-19.192264282226564
182,-19.1582732963562,-19.191909301757814
183,-19.158926639556885,-19.192175048828126
184,-19.158608283996582,-19.191443359375
185,-19.15928855895996,-19.192081665039062
186,-19.15891149520874,-19.19213024902344
187,-19.15857048034668,-19.19224328613281
188,-19.1588063621521,-19.192157653808593
189,-19.158412227630617,-19.192179992675783
190,-19.16071487426758,-19.192346435546874
191,-19.155617580413818,-19.191859008789063
192,-19.15797761917114,-19.192327880859374
193,-19.158054637908936,-19.192010009765625
194,-19.158091411590576,-19.192304626464843
195,-19.159346199035646,-19.192272033691406
196,-19.159205741882325,-19.192132507324217
197,-19.159517459869384,-19.19208428955078
198,-19.159918041229247,-19.19218878173828
199,-19.159630699157717,-19.19201745605469
200,-19.158768768310548,-19.191930236816408
