epoch,train_loss,val_loss
1,-11.939173011779785,-19.332726318359374
2,-12.491785888671876,-19.33563317871094
3,-12.914295902252197,-19.335642944335937
4,-13.523139247894287,-19.33564147949219
5,-14.383020858764649,-19.320705322265624
6,-15.409528217315675,-19.320692749023436
7,-16.496741237640382,-19.24154833984375
8,-17.348489112854004,-19.241586669921876
9,-18.001295585632324,-19.241564697265623
10,-18.487023162841798,-19.24157275390625
11,-18.79430522918701,-19.24155969238281
12,-18.975407791137695,-19.241562744140627
13,-19.058931465148927,-19.241516479492187
