epoch,train_loss,val_loss
1,-10.209626550674438,-10.200819885253907
2,-10.220417242050171,-10.20099331665039
3,-10.20957384109497,-10.20112841796875
4,-10.215046920776366,-10.201245330810547
5,-10.231614389419555,-10.201341918945312
6,-10.226222438812256,-10.201423095703126
7,-10.218161144256591,-10.201488098144532
8,-10.19816255569458,-10.2015341796875
9,-10.199984655380248,-10.201570739746094
10,-10.214877624511718,-10.2016025390625
11,-10.221085605621338,-10.201625579833985
12,-10.212837762832642,-10.201645111083984
13,-10.22072566986084,-10.201660186767578
14,-10.181324405670166,-10.201674896240235
15,-10.221233577728272,-10.201686981201172
16,-10.188967094421386,-10.201694366455078
17,-10.219620752334595,-10.201703918457032
18,-10.238527278900147,-10.20171469116211
19,-10.236522216796875,-10.201725128173829
20,-10.22789529800415,-10.201732818603515
21,-10.234912328720092,-10.201742553710938
22,-10.229999303817749,-10.20175115966797
23,-10.232193384170532,-10.201758911132812
24,-10.207108688354491,-10.20176220703125
25,-10.226201152801513,-10.20176776123047
26,-10.21765203475952,-10.201769409179688
27,-10.2412176322937,-10.201776611328125
28,-10.270036096572875,-10.201777587890625
29,-10.236306419372559,-10.20178237915039
30,-10.2348153591156,-10.201787567138672
31,-10.196905918121338,-10.201788391113281
32,-10.185297470092774,-10.201795501708984
33,-10.209876594543458,-10.201797637939453
34,-10.263361835479737,-10.201802978515625
35,-10.239031105041503,-10.201805267333985
36,-10.226485328674316,-10.201815368652344
37,-10.221523933410644,-10.20182064819336
38,-10.191653575897217,-10.201824584960937
39,-10.19689323425293,-10.201829193115234
40,-10.230228023529053,-10.201830474853516
41,-10.212396078109741,-10.201832489013672
42,-10.223125143051147,-10.20183383178711
43,-10.204604234695434,-10.201838256835938
44,-10.219445819854736,-10.201841278076172
45,-10.246363363265992,-10.20184686279297
46,-10.209267129898072,-10.201850830078126
47,-10.236397552490235,-10.201854064941406
48,-10.229573459625245,-10.201858703613281
49,-10.233393239974976,-10.201860137939454
50,-10.222639694213868,-10.201866333007812
51,-10.222873163223266,-10.201870239257813
52,-10.20579602241516,-10.201875701904298
53,-10.223240985870362,-10.201875579833985
54,-10.205918645858764,-10.201876647949218
55,-10.245991678237916,-10.201878356933594
56,-10.234522714614869,-10.20188021850586
57,-10.21475227355957,-10.201879943847656
58,-10.213696308135987,-10.201881134033203
59,-10.209442081451416,-10.20188250732422
60,-10.21711808204651,-10.201884002685548
61,-10.231839590072632,-10.20188687133789
62,-10.247149524688721,-10.201887756347656
63,-10.235182542800903,-10.201888610839843
64,-10.221020288467408,-10.201889038085938
65,-10.25275824546814,-10.201892913818359
66,-10.223518810272218,-10.201895904541015
67,-10.233290929794311,-10.20189599609375
68,-10.241221809387207,-10.201898498535156
69,-10.214149217605591,-10.201900817871094
70,-10.214325313568116,-10.201901794433594
71,-10.241461715698243,-10.201903259277344
72,-10.212343196868897,-10.201901916503907
73,-10.22821216583252,-10.201904235839844
74,-10.213557758331298,-10.201900512695312
75,-10.201005430221558,-10.201901824951172
76,-10.224171810150146,-10.201904174804687
77,-10.260505199432373,-10.201903045654296
78,-10.191487693786621,-10.201905639648437
79,-10.206189680099488,-10.201905181884765
80,-10.208461122512817,-10.201907135009765
81,-10.252542867660523,-10.201910552978516
82,-10.244401140213013,-10.201910430908203
83,-10.241682558059692,-10.201909118652344
84,-10.2162442111969,-10.201908203125
85,-10.216639108657837,-10.201907165527343
86,-10.221781625747681,-10.201907287597656
87,-10.242678060531617,-10.20190997314453
88,-10.20369381904602,-10.201912506103515
89,-10.216933898925781,-10.201913604736328
90,-10.229202461242675,-10.201914764404297
91,-10.234845094680786,-10.201915710449219
92,-10.222698879241943,-10.2019169921875
93,-10.240119400024414,-10.201914855957032
94,-10.225210723876954,-10.201913543701172
95,-10.232570085525513,-10.201915618896484
96,-10.233686408996583,-10.201915161132813
97,-10.212871351242065,-10.201916290283203
98,-10.229144811630249,-10.201916778564453
99,-10.222172975540161,-10.201915588378906
100,-10.19020393371582,-10.201917266845703
101,-10.25439730644226,-10.201918243408203
102,-10.222343082427978,-10.201917266845703
103,-10.196303043365479,-10.201919158935548
104,-10.218624725341797,-10.20191732788086
105,-10.24242039680481,-10.201921661376954
106,-10.240431175231933,-10.201921966552735
107,-10.210884628295899,-10.201920928955078
108,-10.201489238739013,-10.201919769287109
109,-10.214444847106934,-10.201923065185547
110,-10.228986825942993,-10.201924194335938
111,-10.254883375167847,-10.201924560546875
112,-10.238872985839844,-10.201927001953125
113,-10.231486234664917,-10.201925323486329
114,-10.238927698135376,-10.20192498779297
115,-10.213159484863281,-10.201923492431641
116,-10.215373125076294,-10.201924926757812
117,-10.239306039810181,-10.201925659179688
118,-10.235726528167724,-10.20192578125
119,-10.20760087966919,-10.201924591064452
120,-10.211610984802245,-10.201924194335938
121,-10.248223400115966,-10.201924133300782
122,-10.228657293319703,-10.20192510986328
