epoch,train_loss,val_loss
1,-7.964811291694641,-10.193108306884765
2,-10.180378503799439,-10.19348129272461
3,-10.206557693481445,-10.193298034667968
4,-10.213079357147217,-10.193745849609375
5,-10.217195291519165,-10.19240786743164
6,-10.21794553756714,-10.193845733642577
7,-10.219107875823974,-10.192940673828126
8,-10.22003095626831,-10.192292236328125
9,-10.219175357818603,-10.19378060913086
10,-10.220319862365722,-10.193769226074219
11,-10.220341739654542,-10.193490020751954
12,-10.21995015144348,-10.19289288330078
13,-10.220366888046264,-10.192489227294923
14,-10.219992427825927,-10.192552185058593
15,-10.220332107543946,-10.193277191162109
16,-10.22062985420227,-10.193772369384765
