epoch,train_loss,val_loss
1,-8.261287536621094,-14.532216064453126
2,-8.788889751434326,-14.610619201660157
3,-9.814285440444946,-14.610692321777345
4,-11.380726385116578,-14.47575701904297
5,-12.998724327087402,-14.475740661621094
6,-13.963308191299438,-14.475645080566407
7,-14.331274785995483,-14.475440063476562
8,-14.427789869308471,-14.475767639160157
9,-14.464652996063233,-14.47545703125
10,-14.475105142593383,-14.475408142089844
11,-14.479894094467163,-14.47544158935547
12,-14.488902378082276,-14.47536572265625
13,-14.48980396270752,-14.474995971679688
