epoch,train_loss,val_loss
1,-16.47965302467346,-24.10636779785156
2,-17.040281047821043,-24.223096557617186
3,-18.011031169891357,-24.223123779296873
4,-19.454841175079345,-24.204759033203125
5,-20.95054174423218,-24.204764038085937
6,-22.07208200454712,-24.120977661132812
7,-23.176611061096192,-24.12074072265625
8,-23.84853101730347,-24.120741577148436
9,-24.031623497009278,-24.120685424804687
10,-24.078501930236815,-24.120613037109376
11,-24.09241304397583,-24.12033459472656
12,-24.105770263671875,-24.11983874511719
13,-24.10448564529419,-24.1198076171875
