method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,10.190195083618164
cnn,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,10.181775756835938
transformer,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,10.218661254882813
llm_sequential,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,10.051340087890624
proposed,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,10.051278259277344
random,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,10.219476699829102
cnn,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,10.186146301269531
transformer,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,10.173897888183594
llm_sequential,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,10.251374694824218
proposed,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,10.251353759765625
random,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,10.219592094421387
cnn,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,10.247747802734375
transformer,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,10.2422666015625
llm_sequential,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,10.312959289550781
proposed,hard,3,4,4,16,4,2.0,2.0,10.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,10.3130048828125
