epoch,train_loss,val_loss
1,-8.517714989185333,-3.4136595611572265
2,-8.855358910560607,-5.051647628784179
3,-9.383204793930053,-7.602173370361328
4,-10.311804878711701,-10.862581237792968
5,-11.993651282787322,-13.400128662109376
6,-13.86100207567215,-14.556110534667969
7,-14.483475649356842,-14.560598999023437
8,-14.51272189617157,-14.560601989746093
9,-14.513487362861634,-14.560603088378906
10,-14.51778153181076,-14.560603576660156
11,-14.516305792331696,-14.560604614257812
12,-14.516669774055481,-14.560605163574218
13,-14.515989136695861,-14.560605712890625
14,-14.51707706451416,-14.560606506347657
15,-14.51732372045517,-14.560607055664063
16,-14.517837989330292,-14.560607604980468
17,-14.517071664333344,-14.560608093261719
18,-14.517470586299897,-14.5606083984375
19,-14.516932010650635,-14.560609130859374
20,-14.518146586418151,-14.560609619140624
21,-14.51748685836792,-14.560609619140624
22,-14.517645037174224,-14.560609924316406
23,-14.517363202571868,-14.560610473632812
24,-14.517486643791198,-14.560610778808593
25,-14.517210435867309,-14.560610717773438
26,-14.51749175786972,-14.560610778808593
27,-14.5167595744133,-14.56061102294922
28,-14.516286790370941,-14.56061102294922
29,-14.517294764518738,-14.560611572265625
30,-14.517350327968597,-14.560611450195312
31,-14.517265558242798,-14.560611694335938
32,-14.51711733341217,-14.560611694335938
33,-14.5174924492836,-14.56061199951172
34,-14.517492640018464,-14.560611572265625
35,-14.517492985725402,-14.56061181640625
36,-14.517492878437043,-14.560611877441406
37,-14.517493200302123,-14.560611877441406
38,-14.517965972423553,-14.560611938476562
39,-14.517673754692078,-14.56061212158203
40,-14.517493546009064,-14.560611877441406
41,-14.517493879795074,-14.56061163330078
42,-14.517493951320649,-14.560611877441406
43,-14.517493987083435,-14.560611694335938
44,-14.517452883720399,-14.56061181640625
45,-14.516674602031708,-14.560611755371093
46,-14.517494130134583,-14.560611938476562
47,-14.51749427318573,-14.56061181640625
48,-14.51749438047409,-14.56061163330078
49,-14.517494356632232,-14.560611938476562
