epoch,train_loss,val_loss
1,-16.83423283100128,-8.264707458496094
2,-17.209479784965517,-10.753584899902343
3,-17.75616648197174,-13.597834838867188
4,-18.431613516807555,-17.18198260498047
5,-19.600851464271546,-20.476167907714842
6,-21.410434794425964,-22.575199096679686
7,-23.28366470336914,-24.07988037109375
8,-24.022627973556517,-24.086855712890625
9,-24.075212836265564,-24.087478393554687
10,-24.077438020706175,-24.087518432617188
11,-24.080836057662964,-24.08752392578125
12,-24.081044912338257,-24.0875283203125
13,-24.08270330429077,-24.087525756835937
14,-24.082878613471983,-24.087535034179687
15,-24.083312726020814,-24.087539306640625
16,-24.082762050628663,-24.087544555664063
17,-24.084037256240844,-24.087541748046874
18,-24.08398332595825,-24.08754736328125
19,-24.083472728729248,-24.087548828125
20,-24.084554862976074,-24.087554321289062
21,-24.08312804698944,-24.08755017089844
22,-24.08352336883545,-24.087555419921873
23,-24.083983397483827,-24.087555297851562
24,-24.08402578830719,-24.087556762695314
25,-24.084150075912476,-24.087556030273436
26,-24.08384163379669,-24.087555297851562
27,-24.083353996276855,-24.087557250976563
28,-24.082779693603516,-24.087557373046874
29,-24.083944606781007,-24.08755773925781
30,-24.08290390968323,-24.087556762695314
31,-24.083284997940062,-24.0875576171875
32,-24.0834881067276,-24.087558227539063
33,-24.08401165008545,-24.08755749511719
34,-24.083840131759644,-24.08755871582031
35,-24.083988428115845,-24.087558837890626
36,-24.08416292667389,-24.087558959960937
37,-24.084205794334412,-24.087558837890626
38,-24.083913040161132,-24.08755871582031
39,-24.083350396156312,-24.087558959960937
40,-24.083401823043822,-24.08755847167969
41,-24.083720207214355,-24.087559326171874
42,-24.08532271385193,-24.08755773925781
43,-24.082776069641113,-24.087557983398437
44,-24.085289478302002,-24.08755749511719
45,-24.08444595336914,-24.087558227539063
46,-24.084033703804018,-24.087558837890626
47,-24.08499538898468,-24.087558227539063
48,-24.08421504497528,-24.08755810546875
49,-24.084886813163756,-24.08755908203125
50,-24.083760142326355,-24.087558959960937
51,-24.08393030166626,-24.08755859375
