epoch,train_loss,val_loss
1,-20.45603768825531,-24.12289587402344
2,-23.913579368591307,-24.184828002929688
3,-24.002238488197328,-24.188790649414063
4,-24.02233557701111,-24.18990087890625
5,-24.031531429290773,-24.1901865234375
6,-24.033928322792054,-24.190267333984377
7,-24.03759753704071,-24.190371948242188
8,-24.03999032974243,-24.19044104003906
9,-24.043759751319886,-24.19035290527344
10,-24.04393129348755,-24.190452758789064
11,-24.04353051185608,-24.190440185546876
12,-24.041407227516174,-24.190347412109375
13,-24.041258144378663,-24.19040625
14,-24.042730712890624,-24.190397094726563
15,-24.04197766780853,-24.190445678710937
16,-24.04348964691162,-24.190295654296875
17,-24.0435250043869,-24.190450073242186
18,-24.043172812461854,-24.190355224609377
19,-24.04329116344452,-24.190425170898436
20,-24.042767119407653,-24.190436645507813
