epoch,train_loss,val_loss
1,-21.52009904384613,-11.197023315429687
2,-21.936448454856873,-13.870131530761718
3,-22.45955295562744,-16.738945068359374
4,-23.07038233280182,-19.52272100830078
5,-23.79400227069855,-22.330598022460936
6,-24.864900040626527,-26.054288940429686
7,-26.655244398117066,-28.803469116210938
8,-28.65672047138214,-28.99775732421875
9,-28.97649908065796,-28.998255859375
10,-29.005756092071532,-28.998341552734374
11,-29.012739515304567,-28.998365112304686
12,-29.014646220207215,-28.99836865234375
13,-29.016437029838563,-28.998372436523436
14,-29.015859389305113,-28.99837976074219
15,-29.017770457267762,-28.99838098144531
16,-29.017123579978943,-28.998380859375
17,-29.017829656600952,-28.998384643554687
18,-29.017850255966188,-28.998384521484375
19,-29.017166900634766,-28.99838537597656
20,-29.018674206733703,-28.99838623046875
21,-29.017669343948363,-28.998386596679687
22,-29.017542934417726,-28.998387451171876
23,-29.017909121513366,-28.998386596679687
24,-29.017895936965942,-28.99838732910156
25,-29.018292355537415,-28.9983876953125
26,-29.01827766895294,-28.9983876953125
27,-29.018289494514466,-28.99838720703125
28,-29.019012355804442,-28.99838732910156
29,-29.017807388305663,-28.9983876953125
30,-29.018115282058716,-28.99838732910156
31,-29.01826763153076,-28.998387451171876
32,-29.0182692527771,-28.99838671875
33,-29.01807816028595,-28.998387451171876
34,-29.01826927661896,-28.99838732910156
35,-29.0182715177536,-28.9983876953125
