epoch,train_loss,val_loss
1,-29.05862476825714,-29.108513916015625
2,-29.075828313827515,-29.108527099609375
3,-29.067949604988097,-29.108538330078126
4,-29.060191059112547,-29.10854748535156
5,-29.061048197746278,-29.108554931640626
6,-29.07041335105896,-29.108561279296875
7,-29.092654252052306,-29.108566650390625
8,-29.083757615089418,-29.108570434570314
9,-29.108781027793885,-29.108573974609374
10,-29.08610818386078,-29.108576782226564
11,-29.010935640335084,-29.108578857421875
12,-29.050067687034606,-29.108580078125
13,-29.053611993789673,-29.10858142089844
14,-29.05834107398987,-29.108582153320313
15,-29.079410243034364,-29.108583129882813
16,-29.12450153827667,-29.10858361816406
17,-29.10877718925476,-29.10858337402344
18,-29.0631334066391,-29.10858361816406
19,-29.063493490219116,-29.108583984375
20,-29.10191419124603,-29.10858361816406
21,-29.068407773971558,-29.108583740234376
22,-29.068829345703126,-29.108583862304688
23,-29.062799310684206,-29.108583862304688
24,-29.091415786743163,-29.108584228515625
25,-29.075218272209167,-29.108584228515625
26,-29.09567184448242,-29.108584106445313
27,-29.043050289154053,-29.108584106445313
28,-29.10112226009369,-29.108584350585936
29,-29.08808650970459,-29.108584106445313
30,-29.10032730102539,-29.108584228515625
31,-29.04961402416229,-29.108584228515625
32,-29.05126452445984,-29.108584106445313
33,-29.090275931358338,-29.108583984375
34,-29.064940309524538,-29.108583984375
35,-29.140094923973084,-29.10858349609375
36,-29.124152636528017,-29.108583984375
37,-29.00339753627777,-29.108583740234376
38,-29.073370695114136,-29.108584106445313
