epoch,train_loss,val_loss
1,-9.439876067638398,-3.3761316986083982
2,-9.73083860874176,-4.039478744506836
3,-10.003508365154266,-4.7699976043701175
4,-10.290941965579986,-5.564129364013672
5,-10.584114170074463,-6.423913452148438
6,-10.904155433177948,-7.551341125488281
7,-11.296699726581574,-8.634986083984375
8,-11.75256280899048,-9.892551971435546
9,-12.193467473983764,-11.6941767578125
10,-12.988331067562104,-14.25028369140625
11,-14.411595499515533,-15.558705627441407
12,-15.403788435459138,-15.560455810546875
13,-15.49825690984726,-15.560534423828125
14,-15.502524280548096,-15.560597961425781
15,-15.509966135025024,-15.560519348144531
16,-15.509961354732514,-15.560595458984375
17,-15.509568512439728,-15.560619995117188
18,-15.51555609703064,-15.560606018066407
19,-15.51302319765091,-15.560620178222656
20,-15.514247858524323,-15.560544921875
21,-15.513122081756592,-15.560489501953125
22,-15.512479317188262,-15.560504516601563
23,-15.51311639547348,-15.560481689453125
24,-15.513618004322051,-15.560459106445313
25,-15.516171061992646,-15.560580200195313
26,-15.514785969257355,-15.560512268066406
27,-15.512327718734742,-15.560511901855469
28,-15.51308320760727,-15.560528442382813
29,-15.51578027009964,-15.560442199707031
