epoch,train_loss,val_loss
1,-9.485147750377655,-3.42122802734375
2,-9.739065444469452,-4.1598218688964845
3,-10.089408123493195,-4.929061340332031
4,-10.408577704429627,-5.987781524658203
5,-10.606415832042694,-7.235548065185547
6,-11.018870151042938,-8.678826232910156
7,-11.434448099136352,-9.965707794189454
8,-12.003983283042908,-11.254972473144532
9,-12.827961039543151,-13.075872619628907
10,-13.805356192588807,-14.834958129882812
11,-14.864706683158875,-15.413358215332032
12,-15.425812387466431,-15.437280212402344
13,-15.557804667949677,-15.437302673339843
14,-15.56216471195221,-15.437305236816407
15,-15.566903603076934,-15.437308776855469
16,-15.573306202888489,-15.437310852050782
17,-15.570604836940765,-15.43731329345703
18,-15.573147666454314,-15.437316162109376
19,-15.57834095954895,-15.437318359375
20,-15.573979306221009,-15.437320861816406
21,-15.57506856918335,-15.437323120117188
22,-15.574129974842071,-15.437325622558594
23,-15.574614477157592,-15.43732763671875
24,-15.576817989349365,-15.43732940673828
25,-15.578190803527832,-15.437331481933594
26,-15.57558319568634,-15.43733349609375
27,-15.574808835983276,-15.437335571289063
28,-15.575666797161102,-15.437337524414062
29,-15.575796663761139,-15.437339416503907
30,-15.577575922012329,-15.437340881347657
31,-15.576398384571075,-15.437343078613281
32,-15.576939296722411,-15.4373447265625
33,-15.57577213048935,-15.43734637451172
34,-15.577238929271697,-15.437347717285157
35,-15.575995779037475,-15.437349548339844
36,-15.576430201530457,-15.437351135253905
37,-15.576373994350433,-15.437352355957032
38,-15.57411892414093,-15.43735400390625
39,-15.576706147193908,-15.437355407714843
40,-15.57617518901825,-15.437356567382812
41,-15.576714360713959,-15.437358154296875
42,-15.576297509670258,-15.437359008789063
43,-15.576597547531128,-15.437360168457031
44,-15.57803441286087,-15.437360900878906
45,-15.576729226112366,-15.437362426757813
46,-15.575930392742157,-15.43736328125
47,-15.576721882820129,-15.4373642578125
48,-15.576723003387452,-15.437365234375
49,-15.576723086833955,-15.437366149902344
50,-15.576725101470947,-15.437367309570313
51,-15.57809875011444,-15.437368286132813
52,-15.57660253047943,-15.437369262695313
