method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.168310165405273
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.184162963867188
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.235877807617186
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.200937622070313
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.200931884765627
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.222522735595703
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.166943481445312
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.175470825195312
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.308581909179686
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.308585693359376
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.230314254760742
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.237598876953125
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.257079833984374
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.381904907226563
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.381910522460938
