epoch,train_loss,val_loss
1,-15.367420899868012,-18.71106994628906
2,-19.101615214347838,-19.07772918701172
3,-19.220657730102538,-19.081149291992187
4,-19.2385746717453,-19.08189880371094
5,-19.24751091003418,-19.0822177734375
6,-19.24890501499176,-19.082256469726563
7,-19.25118420124054,-19.082337646484376
8,-19.25284731388092,-19.08229656982422
9,-19.253528213500978,-19.082286682128906
10,-19.254369735717773,-19.082341186523436
11,-19.25464985370636,-19.082325561523437
12,-19.255050539970398,-19.082362060546874
13,-19.254978275299074,-19.082361389160155
14,-19.255634951591492,-19.08233819580078
15,-19.255124425888063,-19.082317932128905
16,-19.254643654823305,-19.082346130371093
17,-19.255370783805848,-19.082343017578125
18,-19.254991984367372,-19.082357177734377
19,-19.25593614578247,-19.082318420410157
20,-19.255597376823424,-19.082368041992186
21,-19.255409145355223,-19.082355712890624
22,-19.255297803878783,-19.082311706542967
23,-19.254324913024902,-19.082342834472655
24,-19.25582091808319,-19.0823681640625
25,-19.256051850318908,-19.08232049560547
26,-19.255258870124816,-19.082367126464845
27,-19.25592725276947,-19.082354919433595
28,-19.255990648269652,-19.082284057617187
29,-19.255885243415833,-19.08236065673828
30,-19.255899834632874,-19.082367736816405
31,-19.256062626838684,-19.082321960449217
32,-19.255892324447633,-19.082314208984375
33,-19.255815744400024,-19.082294860839845
34,-19.256558847427367,-19.082366943359375
