epoch,train_loss,val_loss
1,-12.2436075091362,-1.7874431533813477
2,-12.511593067646027,-1.806272346496582
3,-12.872810101509094,-1.8245765609741211
4,-13.202439260482787,-1.8460601806640624
5,-13.418177044391632,-1.8681312255859375
6,-13.70856090784073,-1.8924647598266602
7,-13.971491229534148,-1.916083999633789
8,-14.270377624034882,-1.9429764709472657
9,-14.452148127555848,-1.968575782775879
10,-14.716570377349854,-1.9970729446411133
11,-14.966207778453827,-2.0259047470092773
12,-15.11338368654251,-2.0557149353027344
13,-15.386629915237426,-2.087596611022949
14,-15.547904121875764,-2.120720687866211
15,-15.723710501194,-2.153712448120117
16,-15.950373816490174,-2.1924709396362303
17,-16.076885724067687,-2.2302267990112306
18,-16.2725007891655,-2.269781494140625
19,-16.401265037059783,-2.3111001815795897
20,-16.607010412216187,-2.3530673828125
21,-16.66829776763916,-2.3978117141723634
22,-16.90334560871124,-2.4421923294067382
23,-16.997616004943847,-2.4909284744262696
24,-17.077249884605408,-2.5500980224609373
25,-17.194485449790953,-2.603839714050293
26,-17.271074175834656,-2.6651702423095704
27,-17.396670556068422,-2.73229052734375
28,-17.42568657398224,-2.8011693572998047
29,-17.580928349494933,-2.875385299682617
30,-17.616667413711546,-2.966762252807617
31,-17.62918601036072,-3.0497143096923827
32,-17.72840573787689,-3.1300323486328123
33,-17.82122881412506,-3.229852523803711
34,-17.835583448410034,-3.3299332885742188
35,-17.887099409103392,-3.43226545715332
36,-17.913347601890564,-3.5433323516845703
37,-18.02270088195801,-3.6527073516845703
38,-17.991817140579222,-3.7785700225830077
39,-18.06541347503662,-3.9218883056640625
40,-18.07934401035309,-4.061420761108399
41,-18.151241374015807,-4.217358123779297
42,-18.128958225250244,-4.374259414672852
43,-18.15065484046936,-4.54870166015625
44,-18.194164824485778,-4.726225646972656
45,-18.138905358314513,-4.87165444946289
46,-18.21045055389404,-4.869623275756836
47,-18.19112675189972,-4.852901275634766
48,-18.148443984985352,-4.843870773315429
49,-18.149745297431945,-4.839274230957031
50,-18.214445614814757,-4.848953231811524
51,-18.249261474609376,-4.837975784301758
52,-18.253093957901,-4.832316833496094
53,-18.15622456073761,-4.8387802734375
54,-18.192620205879212,-4.846928176879882
55,-18.19344871044159,-4.839238342285157
