epoch,train_loss,val_loss
1,-14.264842236042023,-5.596809753417968
2,-14.719765973091125,-9.0569677734375
3,-15.51080663204193,-13.350117309570312
4,-16.960830128192903,-17.148421508789063
5,-18.94040718078613,-20.186999084472657
6,-20.799984455108643,-21.249525512695314
7,-21.331342101097107,-21.2520283203125
8,-21.35333399772644,-21.252032348632813
9,-21.356651973724365,-21.252046508789064
10,-21.3578008890152,-21.252052368164062
11,-21.358692145347597,-21.25205517578125
12,-21.35907688140869,-21.25205419921875
13,-21.35939540863037,-21.25205712890625
14,-21.35894501209259,-21.252056884765626
15,-21.359057188034058,-21.252056030273437
16,-21.359896969795226,-21.252056640625
17,-21.359194946289062,-21.252057373046874
18,-21.359778475761413,-21.25205676269531
19,-21.36022021770477,-21.25205578613281
20,-21.359534764289855,-21.252057983398437
21,-21.359717082977294,-21.25205676269531
22,-21.359940028190614,-21.25205651855469
23,-21.359868144989015,-21.252056884765626
24,-21.360011768341064,-21.25205651855469
25,-21.35974524021149,-21.25205615234375
26,-21.3600026845932,-21.252056396484374
27,-21.360096716880797,-21.25205676269531
28,-21.36010022163391,-21.252056274414063
29,-21.36008987426758,-21.25205676269531
30,-21.36009888648987,-21.25205554199219
