epoch,train_loss,val_loss
1,-22.728453612327577,-22.71961193847656
2,-22.71236526966095,-22.71962854003906
3,-22.720821619033813,-22.719644165039064
4,-22.710698866844176,-22.71965966796875
5,-22.729257941246033,-22.719673583984374
6,-22.723862600326537,-22.7196865234375
7,-22.70614936351776,-22.7196982421875
8,-22.70578863620758,-22.71971044921875
9,-22.718273830413818,-22.719720581054688
10,-22.712145686149597,-22.719730590820312
11,-22.728989720344543,-22.719740600585936
12,-22.728377723693846,-22.71974951171875
13,-22.7252717256546,-22.719757202148436
14,-22.71550908088684,-22.719764770507812
15,-22.73073582649231,-22.71977185058594
16,-22.74734673500061,-22.71977819824219
17,-22.737040853500368,-22.71978466796875
18,-22.713758969306944,-22.71978942871094
19,-22.70861053466797,-22.7197939453125
20,-22.71037538051605,-22.719799438476564
21,-22.74075891971588,-22.71980310058594
22,-22.701677203178406,-22.719806884765624
23,-22.726928877830506,-22.719810668945314
24,-22.74316816329956,-22.719813842773437
25,-22.720898222923278,-22.719816284179686
26,-22.699613332748413,-22.71981884765625
27,-22.721142077445982,-22.7198212890625
28,-22.727846336364745,-22.7198232421875
29,-22.741867351531983,-22.719825805664062
30,-22.74461934566498,-22.719827270507814
31,-22.73715717792511,-22.719828247070314
32,-22.706710863113404,-22.71983020019531
33,-22.71354956626892,-22.719831298828126
34,-22.712434887886047,-22.719832275390626
35,-22.73355722427368,-22.7198330078125
36,-22.718522953987122,-22.71983349609375
37,-22.738091158866883,-22.719834838867186
38,-22.701211738586426,-22.719835327148438
39,-22.729276371002197,-22.719835571289064
40,-22.753861331939696,-22.719835571289064
41,-22.70070583820343,-22.719835815429686
42,-22.73675606250763,-22.71983642578125
43,-22.739434576034547,-22.719836547851564
44,-22.730871701240538,-22.719836547851564
45,-22.727597069740295,-22.7198369140625
46,-22.71003806591034,-22.719837036132812
47,-22.721093273162843,-22.719836669921875
48,-22.743317127227783,-22.719837158203124
49,-22.7411297082901,-22.719836669921875
50,-22.7191175699234,-22.71983740234375
51,-22.717212319374084,-22.71983740234375
52,-22.716673040390013,-22.719837158203124
53,-22.70856580734253,-22.719837646484375
54,-22.70130491256714,-22.71983740234375
55,-22.714437580108644,-22.71983740234375
56,-22.73276343345642,-22.71983740234375
57,-22.694766020774843,-22.719837158203124
58,-22.708948063850404,-22.719837646484375
59,-22.736935138702393,-22.719837646484375
60,-22.732709193229674,-22.71983728027344
61,-22.699164080619813,-22.719837768554687
62,-22.730564165115357,-22.719837646484375
63,-22.746707701683043,-22.719838134765624
64,-22.71064772605896,-22.719838012695313
65,-22.713679099082945,-22.71983850097656
66,-22.714049959182738,-22.71983837890625
67,-22.705395555496217,-22.71983825683594
68,-22.71891827583313,-22.71983837890625
69,-22.72118091583252,-22.719838134765624
70,-22.7310884475708,-22.719838134765624
71,-22.69816584587097,-22.719837768554687
72,-22.685526418685914,-22.719837768554687
73,-22.713471746444704,-22.719837890625
74,-22.676659989356995,-22.719837768554687
75,-22.734066081047057,-22.719837036132812
