method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260606,8000,2000,1000,200,100,6,768,8,30.29755210876465
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260606,8000,2000,1000,200,100,6,768,8,30.32269970703125
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260606,8000,2000,1000,200,100,6,768,8,30.379126220703125
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260606,8000,2000,1000,200,100,6,768,8,30.33371044921875
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260606,8000,2000,1000,200,100,6,768,8,30.33370703125
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260607,8000,2000,1000,200,100,6,768,8,30.363840103149414
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260607,8000,2000,1000,200,100,6,768,8,30.30303515625
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260607,8000,2000,1000,200,100,6,768,8,30.314425537109376
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260607,8000,2000,1000,200,100,6,768,8,30.453307373046876
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260607,8000,2000,1000,200,100,6,768,8,30.453306396484376
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260608,8000,2000,1000,200,100,6,768,8,30.368104934692383
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260608,8000,2000,1000,200,100,6,768,8,30.371189453125
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260608,8000,2000,1000,200,100,6,768,8,30.398986572265624
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260608,8000,2000,1000,200,100,6,768,8,30.537468017578124
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.1,20260608,8000,2000,1000,200,100,6,768,8,30.537464599609375
