epoch,train_loss,val_loss
1,-22.804544425010683,-12.24031622314453
2,-23.22180132865906,-14.981391174316407
3,-23.744628572463988,-17.882937866210938
4,-24.347593235969544,-20.65951696777344
5,-25.056167936325075,-23.430216918945312
6,-26.091438198089598,-27.110356079101564
7,-27.730546879768372,-30.01169189453125
8,-29.852738308906556,-30.307678955078124
9,-30.282863354682924,-30.308318237304686
10,-30.314434337615968,-30.308444458007813
11,-30.32212734222412,-30.308465209960936
12,-30.324743032455444,-30.308470947265626
13,-30.326164221763612,-30.30846923828125
14,-30.325522470474244,-30.30848095703125
15,-30.327784299850464,-30.30848193359375
16,-30.327248883247375,-30.30848193359375
17,-30.3280570268631,-30.30848388671875
18,-30.328023934364317,-30.30848291015625
19,-30.327314591407777,-30.308484252929688
20,-30.328773164749144,-30.30848583984375
21,-30.327726197242736,-30.308484619140625
22,-30.327612781524657,-30.308485961914062
23,-30.32803750038147,-30.30848486328125
24,-30.32780554294586,-30.308485595703125
25,-30.328184509277342,-30.308485107421873
26,-30.328440952301026,-30.30848583984375
27,-30.32841546535492,-30.308484985351562
28,-30.32930624485016,-30.308485473632814
29,-30.3275009393692,-30.308485595703125
30,-30.32785758972168,-30.308485717773436
31,-30.328239607810975,-30.308485595703125
32,-30.328370022773743,-30.308485961914062
