epoch,train_loss,val_loss
1,-30.364694929122926,-30.352363891601563
2,-30.385898923873903,-30.352384399414063
3,-30.394089674949647,-30.352403076171875
4,-30.318595623970033,-30.35241809082031
5,-30.359900307655334,-30.352433349609374
6,-30.365962409973143,-30.352446166992188
7,-30.38332893848419,-30.352457641601564
8,-30.36306276321411,-30.35246887207031
9,-30.37985074520111,-30.35247790527344
10,-30.37300388813019,-30.35248522949219
11,-30.43049600124359,-30.352492919921875
12,-30.410958790779112,-30.352499145507814
13,-30.380610513687134,-30.35250390625
14,-30.33521423339844,-30.352508422851564
15,-30.374251699447633,-30.352511840820313
16,-30.41565659046173,-30.352515380859376
17,-30.37372558116913,-30.35251806640625
18,-30.4049973487854,-30.3525205078125
19,-30.383890414237975,-30.352522705078126
20,-30.33701801300049,-30.352524780273438
21,-30.41040735244751,-30.352526245117186
22,-30.345950412750245,-30.352527099609375
23,-30.369515419006348,-30.352527954101564
24,-30.39979295730591,-30.35252868652344
25,-30.378150463104248,-30.352529296875
26,-30.359492802619933,-30.35252966308594
27,-30.414958572387697,-30.352530029296876
28,-30.422106528282164,-30.352530029296876
29,-30.36552894115448,-30.352530395507813
30,-30.38331491947174,-30.3525302734375
31,-30.37835931777954,-30.35252966308594
32,-30.32984001636505,-30.35252990722656
33,-30.391334700584412,-30.35252990722656
34,-30.366373777389526,-30.35253088378906
35,-30.3930463552475,-30.3525302734375
36,-30.327446031570435,-30.3525302734375
37,-30.400395774841307,-30.35253076171875
38,-30.34306674003601,-30.352530517578124
39,-30.38734362125397,-30.352530151367187
40,-30.41842405796051,-30.35253063964844
41,-30.356939125061036,-30.35253063964844
42,-30.39149034023285,-30.35253063964844
43,-30.397261023521423,-30.35253063964844
44,-30.407374215126037,-30.35253063964844
