epoch,train_loss,val_loss
1,-16.554071533679963,-8.073364288330078
2,-16.9292342543602,-10.541283447265625
3,-17.476072335243224,-13.382324768066406
4,-18.158123254776,-16.96809619140625
5,-19.34255967140198,-20.240572998046876
6,-21.156874966621398,-22.296592163085936
7,-22.982568120956422,-23.781270141601563
8,-23.7225301027298,-23.789250732421873
9,-23.777243185043336,-23.7899990234375
10,-23.779306650161743,-23.79004919433594
11,-23.78300814628601,-23.790052612304688
12,-23.78338897228241,-23.790057373046874
13,-23.784950733184814,-23.790053833007814
14,-23.785201263427734,-23.7900634765625
15,-23.7856653213501,-23.790068359375
16,-23.784965252876283,-23.790078491210938
17,-23.78611238002777,-23.79007434082031
18,-23.786146020889284,-23.790079833984375
19,-23.785806322097777,-23.7900830078125
20,-23.78673803806305,-23.79008996582031
21,-23.78530879020691,-23.79008459472656
22,-23.785625195503236,-23.790091186523437
23,-23.786249542236327,-23.790092529296874
24,-23.786230087280273,-23.790093139648437
25,-23.786295914649962,-23.790093139648437
26,-23.78602523803711,-23.790092529296874
27,-23.785498189926148,-23.790094116210938
28,-23.7850533246994,-23.790094482421875
29,-23.78632836341858,-23.790094116210938
30,-23.78512477874756,-23.790095703125
31,-23.785752534866333,-23.790095336914064
32,-23.78607497215271,-23.79009619140625
33,-23.786266732215882,-23.790096313476564
34,-23.786604595184325,-23.790096313476564
35,-23.78611364364624,-23.790095947265623
36,-23.78616795539856,-23.790095458984375
37,-23.78604311943054,-23.790095947265623
38,-23.78642292022705,-23.79009619140625
39,-23.786724066734315,-23.79009619140625
40,-23.786140847206116,-23.79009619140625
41,-23.785980582237244,-23.790095581054686
42,-23.786125898361206,-23.790096557617186
43,-23.786127519607543,-23.7900966796875
44,-23.785777544975282,-23.79009619140625
45,-23.785826420783998,-23.790096923828123
46,-23.78613226413727,-23.790096313476564
47,-23.78631842136383,-23.790096435546875
48,-23.78607120513916,-23.790096069335938
49,-23.78649866580963,-23.790096435546875
50,-23.786131715774538,-23.790096313476564
51,-23.786128759384155,-23.790097045898438
52,-23.786129736900328,-23.790097045898438
53,-23.78613064289093,-23.790096923828123
54,-23.7861207485199,-23.790097045898438
55,-23.786043167114258,-23.790097045898438
56,-23.786129546165466,-23.790097045898438
57,-23.78597571849823,-23.790096069335938
58,-23.786133146286012,-23.790097412109375
59,-23.7861346244812,-23.790097045898438
60,-23.786131954193117,-23.790096801757812
61,-23.786047101020813,-23.790096435546875
62,-23.78613362312317,-23.790096801757812
63,-23.786136651039122,-23.790096557617186
64,-23.786134219169618,-23.79009716796875
65,-23.78613224029541,-23.790096557617186
66,-23.786135959625245,-23.790096557617186
67,-23.78613600730896,-23.790097045898438
68,-23.78598246574402,-23.790097534179687
69,-23.7856486082077,-23.790097045898438
70,-23.786133766174316,-23.790097534179687
71,-23.786132717132567,-23.790096923828123
72,-23.78613359928131,-23.790096923828123
73,-23.78594105243683,-23.790096923828123
74,-23.7859539270401,-23.7900966796875
75,-23.786132645606994,-23.79009716796875
76,-23.786133909225462,-23.790097290039064
77,-23.7861332654953,-23.790096435546875
78,-23.786131429672242,-23.790097290039064
