epoch,train_loss,val_loss
1,-20.171252632141112,-23.825374145507812
2,-23.61683859825134,-23.8871357421875
3,-23.704859256744385,-23.891065673828123
4,-23.724830293655394,-23.892171142578125
5,-23.73395893573761,-23.8924541015625
6,-23.736361455917358,-23.892529907226564
7,-23.739972710609436,-23.892637939453124
8,-23.742338562011717,-23.89270751953125
9,-23.74610378742218,-23.89261437988281
10,-23.746273946762084,-23.892718383789063
11,-23.745870733261107,-23.892705078125
12,-23.74375102519989,-23.89261083984375
13,-23.743613481521606,-23.892671020507812
14,-23.745080447196962,-23.89266259765625
15,-23.744305992126463,-23.892712036132814
16,-23.745830917358397,-23.8925537109375
17,-23.745867395401,-23.892714233398436
18,-23.745510959625243,-23.892620849609376
19,-23.74562997817993,-23.89269201660156
20,-23.745110821723937,-23.89270263671875
