epoch,train_loss,val_loss
1,-12.226418983459473,-1.6729541969299317
2,-12.510852783203125,-1.6851776695251466
3,-12.70198844909668,-1.6981295919418335
4,-13.19224884033203,-1.7118246030807496
5,-13.459690353393555,-1.7269907999038696
6,-13.678060081481934,-1.7429700565338135
7,-13.812820922851563,-1.7599428033828735
8,-14.1125703125,-1.7765467262268066
9,-14.52197575378418,-1.7945987224578857
10,-14.623338356018067,-1.8141026592254639
11,-14.713017639160157,-1.836577615737915
12,-15.134800857543945,-1.8582019710540771
13,-15.514386016845704,-1.8818818283081056
14,-15.542911880493165,-1.904628143310547
15,-15.630664054870605,-1.9293465042114257
16,-15.863816177368165,-1.954955177307129
17,-16.224759552001952,-1.9818880558013916
18,-16.267912948608398,-2.0064146518707275
19,-16.407003677368163,-2.0348009300231933
20,-16.547510269165038,-2.066395473480225
