epoch,train_loss,val_loss
1,-12.827676094055176,-9.994736938476562
2,-13.689775390625,-14.84486946105957
3,-15.910280990600587,-18.21996826171875
4,-17.576568176269532,-19.161356582641602
5,-18.6692626953125,-19.2518603515625
6,-18.90458903503418,-19.264314270019533
7,-18.98343667602539,-19.267636795043945
8,-19.023780334472658,-19.268744506835937
9,-19.093913803100588,-19.269088287353515
10,-19.10168260192871,-19.269266662597655
11,-19.09300946044922,-19.269342498779295
12,-19.104508712768556,-19.2693709564209
13,-19.10973558807373,-19.269381103515624
14,-19.119975555419924,-19.269386138916015
15,-19.1201583404541,-19.26938804626465
16,-19.11298336791992,-19.269389114379884
17,-19.119767974853517,-19.269388961791993
18,-19.141964599609373,-19.269388427734373
19,-19.115828552246093,-19.269389266967774
20,-19.120497817993165,-19.26938949584961
