epoch,train_loss,val_loss
1,-19.14398225402832,-19.224862365722657
2,-19.26693441772461,-19.225027008056642
3,-19.201705810546876,-19.22517478942871
4,-19.1055802154541,-19.22531051635742
5,-19.24579525756836,-19.22542526245117
6,-19.16635388183594,-19.225521926879882
7,-19.217752166748046,-19.225611038208008
8,-19.36543101501465,-19.225687713623046
9,-19.25965234375,-19.225753326416015
10,-19.244827713012697,-19.22580924987793
11,-19.266139846801757,-19.225858001708986
12,-19.247494644165037,-19.22589454650879
13,-19.347783264160157,-19.22592964172363
14,-19.29000355529785,-19.225958099365233
15,-19.16596875,-19.225982666015625
16,-19.186710571289062,-19.2260009765625
17,-19.277589477539063,-19.226015625
18,-19.28722250366211,-19.226029510498048
19,-19.192615539550783,-19.2260400390625
20,-19.2253742980957,-19.22604866027832
