epoch,train_loss,val_loss
1,-12.804843910217285,-10.003111763000488
2,-13.68360678100586,-14.84893310546875
3,-15.904245819091797,-18.22430854797363
4,-17.571413269042967,-19.161592407226564
5,-18.66207554626465,-19.25170425415039
6,-18.896653594970704,-19.264211578369142
7,-18.975407836914062,-19.267452316284178
8,-19.016860412597655,-19.268246841430663
9,-19.086760955810547,-19.268614349365233
10,-19.095801971435545,-19.269221801757812
11,-19.08896072387695,-19.269295120239256
12,-19.10135469055176,-19.269313049316406
13,-19.107629234313965,-19.269387588500976
14,-19.118399505615233,-19.269440155029297
15,-19.118898193359374,-19.26942687988281
16,-19.11189685058594,-19.269429931640627
17,-19.118957962036134,-19.269464111328126
18,-19.141248245239257,-19.26946273803711
19,-19.115038055419923,-19.26947036743164
20,-19.120168060302735,-19.269469451904296
