epoch,train_loss,val_loss
1,-12.468230270385742,-6.5816687393188475
2,-12.800940673828125,-7.626362533569336
3,-13.080256080627441,-8.828523025512695
4,-13.741288314819336,-10.499401245117188
5,-14.281007247924805,-12.258714790344237
6,-14.89069287109375,-13.89071434020996
7,-15.603906341552735,-15.329001922607421
8,-16.149233718872072,-16.390387229919433
9,-16.81044253540039,-17.020642700195314
10,-17.12809262084961,-17.415987243652342
11,-17.561532318115233,-17.898405075073242
12,-17.840362030029297,-18.016338653564453
13,-18.036758529663086,-18.173368682861327
14,-18.40763008117676,-18.35503234863281
15,-18.48564274597168,-18.753457794189455
16,-18.5819158782959,-18.963263397216796
17,-18.689048126220705,-19.084536743164062
18,-18.751144104003906,-19.126685485839843
19,-18.957724822998046,-19.141369247436522
20,-18.942243301391603,-19.146354064941406
