epoch,train_loss,val_loss
1,-15.560396413803101,-19.21601141357422
2,-18.711708850860596,-19.257614013671876
3,-18.98163158416748,-19.28584033203125
4,-19.034293212890624,-19.29422283935547
5,-19.051368885040283,-19.31083361816406
6,-19.0672336769104,-19.307396728515624
7,-19.08095380783081,-19.314272521972658
8,-19.09280643463135,-19.325880249023438
9,-19.109330158233643,-19.33442529296875
10,-19.11674980163574,-19.331665771484374
11,-19.13062925338745,-19.336817810058594
12,-19.138835067749024,-19.333812072753908
13,-19.145181980133056,-19.330775451660156
14,-19.152954444885253,-19.316646362304688
15,-19.16054002761841,-19.324064392089845
16,-19.165941276550292,-19.323037109375
17,-19.171735172271728,-19.317858032226564
18,-19.17684976577759,-19.33041638183594
19,-19.182366027832032,-19.32517858886719
20,-19.187587165832518,-19.321355529785155
21,-19.19061294555664,-19.330909301757814
22,-19.196237506866456,-19.3349072265625
23,-19.199826946258543,-19.33364416503906
24,-19.201236896514892,-19.33643377685547
25,-19.20461866378784,-19.33452459716797
26,-19.20333354949951,-19.336177307128906
27,-19.206961040496825,-19.336383239746095
28,-19.209394721984864,-19.335414672851563
29,-19.21094156265259,-19.338083435058593
30,-19.213556671142577,-19.3331416015625
31,-19.21251485824585,-19.337808166503905
32,-19.215146980285645,-19.33656628417969
33,-19.215776748657227,-19.336712463378905
34,-19.217254085540773,-19.33751599121094
35,-19.216727485656737,-19.3383076171875
36,-19.21883918762207,-19.33851611328125
37,-19.218568668365478,-19.33650408935547
38,-19.220540046691895,-19.338538024902345
39,-19.220826988220214,-19.33794305419922
40,-19.21894899368286,-19.335763671875
41,-19.22185354232788,-19.338206359863282
42,-19.223274841308594,-19.337122436523437
43,-19.222790870666504,-19.33623779296875
44,-19.224653854370118,-19.33819024658203
45,-19.225033569335938,-19.33753356933594
46,-19.225137176513673,-19.338171447753908
47,-19.227252674102782,-19.337992248535155
48,-19.22692178726196,-19.33870184326172
49,-19.226463317871094,-19.33735791015625
50,-19.227957363128663,-19.337893188476563
51,-19.230297527313233,-19.33787194824219
52,-19.229214572906493,-19.33833642578125
53,-19.229899845123292,-19.338451477050782
54,-19.23028594970703,-19.337942443847655
55,-19.229787197113037,-19.338656677246092
56,-19.230460834503173,-19.338394226074218
57,-19.231163253784178,-19.33853485107422
58,-19.23233009338379,-19.338293395996093
59,-19.231008968353272,-19.338382141113282
60,-19.23255910873413,-19.338369384765624
61,-19.23426393508911,-19.338266174316406
62,-19.234339714050293,-19.338283935546876
63,-19.233727169036865,-19.33803826904297
64,-19.2346964263916,-19.33786560058594
65,-19.234542541503906,-19.338693969726563
66,-19.23615665435791,-19.338461547851562
67,-19.234847297668455,-19.337877380371093
68,-19.234899787902833,-19.338454284667968
69,-19.236784248352052,-19.33796795654297
70,-19.236794300079346,-19.33828302001953
71,-19.235383377075195,-19.337962219238282
72,-19.237717113494874,-19.337994079589844
73,-19.237528686523437,-19.337828125
74,-19.23760820388794,-19.33870153808594
75,-19.237306957244872,-19.338140380859375
76,-19.238808822631835,-19.338403076171875
77,-19.238150939941406,-19.33878204345703
78,-19.238700580596923,-19.338097045898436
79,-19.239385375976564,-19.338201965332033
80,-19.240369243621828,-19.33619757080078
81,-19.241110820770263,-19.338492065429687
82,-19.24096197128296,-19.33868536376953
83,-19.240928230285643,-19.338249816894532
84,-19.240853023529052,-19.33874609375
85,-19.241303329467772,-19.338154602050782
86,-19.24064823150635,-19.338559875488283
87,-19.242072467803954,-19.338751586914064
88,-19.241624889373778,-19.338503845214845
89,-19.242199153900145,-19.33855993652344
90,-19.24176460266113,-19.338688598632814
91,-19.24249599456787,-19.33803967285156
92,-19.242408485412597,-19.338127014160158
93,-19.24282953262329,-19.33799139404297
94,-19.238473110198974,-19.33876190185547
95,-19.243696575164794,-19.337572387695314
96,-19.242530975341797,-19.3382939453125
97,-19.243606204986573,-19.338688110351562
98,-19.242544441223146,-19.33838165283203
99,-19.245240764617918,-19.338815856933593
100,-19.24415292739868,-19.337434265136718
101,-19.24460262298584,-19.338329650878908
102,-19.244365234375,-19.33874951171875
103,-19.24526268005371,-19.3382890625
104,-19.24511329650879,-19.337779541015625
105,-19.24420831680298,-19.337983337402342
106,-19.244077129364015,-19.338749572753905
107,-19.244373168945312,-19.338721557617188
108,-19.245513401031495,-19.338643310546875
109,-19.242970600128174,-19.338191162109375
110,-19.245917110443116,-19.33844934082031
111,-19.245469970703127,-19.33870458984375
112,-19.24571731567383,-19.338317932128906
113,-19.245998058319092,-19.338715942382812
114,-19.247002334594725,-19.33805798339844
115,-19.24575288772583,-19.337485046386718
116,-19.24680253982544,-19.33858905029297
117,-19.246591415405273,-19.338590209960937
118,-19.24695327758789,-19.33809600830078
119,-19.247466773986815,-19.3375029296875
120,-19.246863422393798,-19.337797424316406
121,-19.247438526153566,-19.33837237548828
122,-19.24722713470459,-19.338422790527343
123,-19.24776248931885,-19.338064880371093
124,-19.247799072265625,-19.338537719726563
125,-19.248073959350585,-19.338342163085937
126,-19.247389297485352,-19.338157531738283
127,-19.248383674621582,-19.338679321289064
128,-19.248338317871095,-19.338531982421873
129,-19.24820417404175,-19.33734783935547
130,-19.248493480682374,-19.338037170410157
131,-19.248960342407226,-19.3384345703125
132,-19.249157848358156,-19.338784301757812
133,-19.248996047973634,-19.337998107910156
134,-19.248970756530763,-19.338518798828126
135,-19.249337253570555,-19.33841491699219
136,-19.249628162384035,-19.33880517578125
137,-19.249017848968506,-19.33835137939453
138,-19.249069347381592,-19.338102783203126
139,-19.2493611907959,-19.338047790527344
140,-19.250052433013916,-19.338837158203123
141,-19.249877529144285,-19.33826806640625
142,-19.250707416534425,-19.338427856445314
143,-19.25014347076416,-19.338269348144532
144,-19.250066928863525,-19.33858605957031
145,-19.25032232284546,-19.33817266845703
