epoch,train_loss,val_loss
1,-15.70756012916565,-19.03458135986328
2,-18.775802993774413,-19.087370483398438
3,-18.90954750061035,-19.163812561035158
4,-18.963635711669923,-19.198205139160155
5,-18.992980251312257,-19.22280975341797
6,-19.012858390808105,-19.227053283691408
7,-19.034190559387206,-19.236605224609374
8,-19.048198566436767,-19.242847229003907
9,-19.05860843658447,-19.24169299316406
10,-19.06868341445923,-19.237360412597656
11,-19.079510040283203,-19.24100848388672
12,-19.090661029815674,-19.233955078125
13,-19.096948165893554,-19.23951843261719
14,-19.107443027496338,-19.234616760253907
15,-19.114647541046143,-19.24069512939453
16,-19.119539623260497,-19.241365966796874
17,-19.121831455230712,-19.23355322265625
18,-19.12827184677124,-19.23666046142578
19,-19.13125036239624,-19.240604064941405
20,-19.137793865203857,-19.23992077636719
21,-19.14117446899414,-19.239244445800782
22,-19.148606491088866,-19.242594604492187
23,-19.151137771606447,-19.236674865722655
24,-19.152252902984618,-19.239780883789063
25,-19.15744327545166,-19.239182495117188
26,-19.162129497528078,-19.24065264892578
27,-19.163809337615966,-19.241659301757814
28,-19.16575448989868,-19.242201171875
29,-19.170473957061766,-19.242473571777342
30,-19.17197757720947,-19.240988159179686
31,-19.17834629058838,-19.241123657226563
32,-19.17907974243164,-19.241194885253908
33,-19.182180194854737,-19.24266564941406
34,-19.184353561401366,-19.24099267578125
35,-19.1871879196167,-19.243448120117186
36,-19.18877763748169,-19.24325909423828
37,-19.190459060668946,-19.241546752929686
38,-19.193856468200682,-19.243270935058593
39,-19.194772033691407,-19.24218542480469
40,-19.19564817428589,-19.24113885498047
41,-19.19583980560303,-19.24327880859375
42,-19.197938804626464,-19.242844665527343
43,-19.195487804412842,-19.242980407714843
44,-19.19899465560913,-19.243182800292967
45,-19.20064420700073,-19.242751892089842
46,-19.200982646942137,-19.242722900390625
47,-19.203285274505614,-19.24340643310547
48,-19.20389892578125,-19.240215881347655
49,-19.201485767364503,-19.243033264160157
50,-19.204225368499756,-19.242899291992188
51,-19.20360189437866,-19.24325555419922
52,-19.203923568725585,-19.243101989746094
53,-19.20584144592285,-19.242877685546876
54,-19.20606870651245,-19.24319189453125
55,-19.206918964385988,-19.242735595703124
56,-19.20735528945923,-19.242846618652344
57,-19.208137645721436,-19.241365234375
58,-19.208010578155516,-19.24347741699219
59,-19.208671855926514,-19.242502014160156
60,-19.20872314453125,-19.242726196289063
61,-19.210911254882813,-19.243013854980468
62,-19.210819149017333,-19.242891235351564
63,-19.212107448577882,-19.243154541015624
64,-19.211957931518555,-19.24322149658203
65,-19.21055335998535,-19.243269592285156
66,-19.21213014602661,-19.243173706054687
67,-19.21206256866455,-19.242882263183592
68,-19.21364332199097,-19.242898559570314
69,-19.213878059387206,-19.243418212890624
70,-19.2142533493042,-19.243256164550782
71,-19.21402624130249,-19.24331945800781
72,-19.21523271560669,-19.242833740234374
73,-19.215882873535158,-19.24268615722656
74,-19.21580904006958,-19.24328466796875
75,-19.214118824005126,-19.242754150390624
76,-19.21732795715332,-19.242911193847657
77,-19.21638313293457,-19.242862670898436
78,-19.2147373008728,-19.242296936035157
79,-19.217763595581054,-19.2428505859375
80,-19.21761011123657,-19.243028747558593
81,-19.21797933578491,-19.2424765625
82,-19.218020210266115,-19.24318035888672
83,-19.218017330169676,-19.242976928710938
84,-19.217733516693116,-19.242094116210936
85,-19.218500061035158,-19.242663330078123
86,-19.21940595626831,-19.24344696044922
87,-19.220041122436523,-19.242837036132812
88,-19.21871633529663,-19.24325
89,-19.219830436706545,-19.24338934326172
90,-19.220914058685302,-19.24294091796875
91,-19.22113374710083,-19.241054321289063
92,-19.221149291992187,-19.242413635253907
93,-19.221037693023682,-19.24221173095703
94,-19.22099075317383,-19.2422822265625
95,-19.221680488586426,-19.243438049316406
96,-19.221543312072754,-19.243236389160156
97,-19.221903133392335,-19.24155792236328
98,-19.22276887893677,-19.24321594238281
99,-19.22250312805176,-19.242852722167967
100,-19.223415966033937,-19.242854614257812
101,-19.223363304138182,-19.242877197265624
102,-19.22305452346802,-19.24315313720703
103,-19.223277397155762,-19.241531494140624
104,-19.223754444122314,-19.242904663085938
105,-19.22407642364502,-19.242460632324217
106,-19.223798179626463,-19.243255493164064
107,-19.224433364868165,-19.24320782470703
108,-19.225207481384277,-19.242336975097658
109,-19.225709552764894,-19.243284912109374
110,-19.224428329467774,-19.243066650390624
111,-19.22524122238159,-19.24214422607422
112,-19.22546365737915,-19.2428857421875
113,-19.225557289123536,-19.243231201171874
114,-19.225265636444092,-19.243042419433593
115,-19.225907230377196,-19.242805908203124
116,-19.225870475769042,-19.241399963378907
117,-19.226301784515382,-19.24324200439453
118,-19.226401138305665,-19.243279541015625
119,-19.226450958251952,-19.242180786132813
120,-19.22676612854004,-19.243290466308594
121,-19.227244052886963,-19.242721496582032
122,-19.225926265716552,-19.24156140136719
123,-19.226774711608886,-19.24336279296875
124,-19.226705341339112,-19.24259619140625
125,-19.22657335281372,-19.242633056640624
126,-19.227054653167723,-19.243355712890626
127,-19.227470989227296,-19.242986572265625
128,-19.22720977783203,-19.24296893310547
129,-19.227746467590332,-19.243375183105467
130,-19.22766529083252,-19.24278302001953
131,-19.22826416015625,-19.242736572265624
132,-19.22851146697998,-19.243128295898437
133,-19.228161487579346,-19.24316650390625
134,-19.22864040374756,-19.243114990234375
135,-19.228729305267333,-19.242962646484376
136,-19.229025268554686,-19.243356201171874
137,-19.22897653579712,-19.243308837890623
138,-19.229205493927,-19.242270751953125
139,-19.229605903625487,-19.242866760253907
140,-19.229482192993164,-19.24318426513672
141,-19.229227867126465,-19.243009094238282
142,-19.229943103790283,-19.24342401123047
143,-19.229974308013915,-19.243207580566406
144,-19.23023313522339,-19.2429833984375
145,-19.22987518310547,-19.24314538574219
146,-19.230082168579102,-19.242244995117186
147,-19.229922008514404,-19.243160095214844
148,-19.230274772644044,-19.24310760498047
149,-19.231153469085694,-19.243168090820312
150,-19.230666217803954,-19.24299285888672
151,-19.230729236602784,-19.243089599609377
152,-19.230927658081054,-19.242628784179686
153,-19.230932388305664,-19.243309814453124
154,-19.231153736114504,-19.240156677246095
155,-19.23110481262207,-19.242528381347658
156,-19.23122621536255,-19.242650817871095
157,-19.231293621063234,-19.241744140625
158,-19.23137601852417,-19.242155456542967
159,-19.231762676239015,-19.24242498779297
160,-19.231697940826415,-19.24304016113281
161,-19.231514530181883,-19.242376770019533
162,-19.232144870758056,-19.243324279785156
163,-19.231906089782715,-19.243198608398437
164,-19.23218490600586,-19.24340362548828
165,-19.232421798706056,-19.243232788085937
166,-19.232243099212646,-19.241965148925782
167,-19.232214984893798,-19.24342272949219
168,-19.232293872833253,-19.24297283935547
169,-19.232637367248536,-19.24302508544922
170,-19.23268527984619,-19.24338311767578
171,-19.232982139587403,-19.242775756835936
172,-19.232832469940185,-19.24327160644531
173,-19.233245391845703,-19.24270147705078
174,-19.232968559265135,-19.243484252929687
175,-19.232870483398436,-19.242910888671876
176,-19.232871341705323,-19.2431396484375
177,-19.23296413421631,-19.242615112304687
178,-19.233167839050292,-19.243020935058595
179,-19.233403282165526,-19.24273291015625
180,-19.23387504577637,-19.243290466308594
181,-19.233634395599367,-19.24287530517578
182,-19.233757076263426,-19.243447326660156
183,-19.233955764770506,-19.243115661621093
