epoch,train_loss,val_loss
1,-12.366458427906036,-5.8826446533203125
2,-12.851598823070526,-8.397605438232421
3,-13.446002840995789,-11.637260864257813
4,-14.550924623012543,-15.680703369140625
5,-16.416575717926026,-18.259047119140625
6,-18.51773097515106,-19.231627258300783
7,-19.249388647079467,-19.253469360351563
8,-19.303896450996398,-19.25389599609375
9,-19.31472251415253,-19.254116149902345
10,-19.315142393112183,-19.25412341308594
11,-19.317189121246336,-19.254129516601562
12,-19.317755031585694,-19.254126098632813
13,-19.318128061294555,-19.254149047851563
14,-19.319798278808594,-19.25414129638672
15,-19.31961772441864,-19.254142517089843
16,-19.31907913684845,-19.25414239501953
17,-19.319055795669556,-19.254139587402342
18,-19.319635701179504,-19.254145751953125
19,-19.31936082839966,-19.254140747070313
20,-19.319472742080688,-19.254140747070313
21,-19.319187116622924,-19.2541435546875
22,-19.318714714050294,-19.254143615722658
23,-19.31978495121002,-19.254147888183592
