method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.168310165405273
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.184162841796876
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.235877807617186
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.200937622070313
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,8000,2000,1000,200,100,6,768,8,19.200931884765627
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.222522735595703
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.16694384765625
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.175470825195312
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.308581909179686
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,8000,2000,1000,200,100,6,768,8,19.308585693359376
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.230314254760742
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.237598754882814
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.257079833984374
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.381904907226563
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,8000,2000,1000,200,100,6,768,8,19.381910522460938
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,8000,2000,1000,200,100,6,768,8,19.376338958740234
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,8000,2000,1000,200,100,6,768,8,19.437844604492188
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,8000,2000,1000,200,100,6,768,8,19.19279064941406
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,8000,2000,1000,200,100,6,768,8,19.470101440429687
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,8000,2000,1000,200,100,6,768,8,19.47007470703125
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,8000,2000,1000,200,100,6,768,8,19.253328323364258
cnn,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,8000,2000,1000,200,100,6,768,8,19.247922241210937
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,8000,2000,1000,200,100,6,768,8,19.106911743164062
llm_sequential,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,8000,2000,1000,200,100,6,768,8,19.32871533203125
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,8000,2000,1000,200,100,6,768,8,19.32872412109375
