epoch,train_loss,val_loss
1,-19.22348470687866,-19.213107971191405
2,-19.24073178768158,-19.213127746582032
3,-19.25145528316498,-19.213145874023436
4,-19.181707620620728,-19.21316229248047
5,-19.21793191432953,-19.213176696777342
6,-19.225090432167054,-19.213190307617186
7,-19.24077386856079,-19.213202575683592
8,-19.22383060455322,-19.21321319580078
9,-19.239258074760436,-19.21322332763672
10,-19.233427357673644,-19.213232849121095
11,-19.28309910297394,-19.213240600585937
12,-19.267611336708068,-19.21324755859375
13,-19.23918399810791,-19.21325390625
14,-19.196789169311522,-19.213259033203126
15,-19.233507251739503,-19.213264221191405
16,-19.26882746219635,-19.213268310546876
17,-19.231721591949462,-19.21327166748047
18,-19.259055304527283,-19.21327526855469
19,-19.239369344711303,-19.21327783203125
20,-19.19938154220581,-19.213280334472657
21,-19.268603706359862,-19.21328192138672
22,-19.207672047615052,-19.21328387451172
23,-19.227104806900023,-19.21328564453125
24,-19.25846748352051,-19.213286987304688
25,-19.239511847496033,-19.213288330078125
26,-19.218095207214354,-19.21328936767578
27,-19.26980593204498,-19.2132900390625
28,-19.277926111221312,-19.213290649414063
29,-19.225227093696596,-19.213291442871093
30,-19.241970276832582,-19.213292419433593
31,-19.238424801826476,-19.213292602539063
32,-19.19005880355835,-19.213292907714845
33,-19.247459721565246,-19.21329382324219
34,-19.226440620422363,-19.213294372558593
35,-19.248780012130737,-19.213294799804686
36,-19.18953585624695,-19.213295104980467
37,-19.25612065792084,-19.213295471191405
38,-19.207173299789428,-19.213296203613282
39,-19.24509425163269,-19.213296325683594
40,-19.276446199417116,-19.213296630859375
41,-19.217384934425354,-19.213296936035157
42,-19.24865050315857,-19.21329736328125
43,-19.253111290931702,-19.21329754638672
44,-19.266155672073364,-19.213298278808594
45,-19.199756860733032,-19.21329852294922
46,-19.208225417137147,-19.21329919433594
47,-19.21179254055023,-19.213299133300783
48,-19.215792202949523,-19.213299072265624
49,-19.24070601463318,-19.213299255371094
50,-19.224830150604248,-19.213299560546876
51,-19.20605273246765,-19.2132998046875
52,-19.223290753364562,-19.21330017089844
53,-19.22889714241028,-19.213301208496095
54,-19.212313723564147,-19.21330096435547
55,-19.265829014778138,-19.213301330566406
56,-19.271156215667723,-19.213301879882813
57,-19.20925624370575,-19.2133017578125
