epoch,train_loss,val_loss
1,-12.311951637268066,-5.3221953125
2,-12.751988887786865,-7.826108947753906
3,-13.349767303466797,-11.106400024414063
4,-14.424287009239197,-15.055023986816407
5,-16.176636075973512,-17.823794311523436
6,-18.222744870185853,-19.049587646484376
7,-19.08680648803711,-19.1955654296875
8,-19.205742931365968,-19.196065551757812
9,-19.22657792568207,-19.196061096191407
10,-19.231140398979186,-19.196077941894533
11,-19.230732202529907,-19.196061157226563
12,-19.232946515083313,-19.196067749023438
13,-19.233184337615967,-19.196065307617186
14,-19.234182024002074,-19.19606903076172
15,-19.23505368232727,-19.196052673339842
16,-19.233982133865357,-19.19609033203125
17,-19.234367275238036,-19.19608117675781
18,-19.234369158744812,-19.19606378173828
19,-19.233926820755006,-19.196087219238283
20,-19.234632992744444,-19.19606170654297
21,-19.235704612731933,-19.196092529296877
22,-19.234725308418273,-19.196101318359375
23,-19.235276699066162,-19.196088989257813
24,-19.234756183624267,-19.196082946777345
25,-19.234445929527283,-19.19608038330078
26,-19.23483278751373,-19.196089965820313
27,-19.234934258461,-19.19609112548828
28,-19.23503189086914,-19.196093139648436
29,-19.23412652015686,-19.196079528808593
30,-19.23500249385834,-19.196078491210937
31,-19.234863996505737,-19.1960810546875
32,-19.23538181781769,-19.1960859375
