epoch,train_loss,val_loss
1,-12.361274242401123,-5.524745330810547
2,-12.876223719120025,-7.729287841796875
3,-13.3767911195755,-10.711371032714844
4,-14.292093396186829,-14.913254272460938
5,-16.006829476356508,-18.7375517578125
6,-18.590912079811098,-19.264586975097657
7,-19.24511251449585,-19.265180419921876
8,-19.27224380970001,-19.265190856933593
9,-19.27433385848999,-19.26519287109375
10,-19.275624895095824,-19.265194763183594
11,-19.278961777687073,-19.26519610595703
12,-19.280477690696717,-19.265197204589843
13,-19.280472683906556,-19.2651982421875
14,-19.279643201828,-19.265199462890624
15,-19.279520559310914,-19.26520068359375
16,-19.27972900867462,-19.26520135498047
17,-19.279524755477905,-19.26520233154297
18,-19.280264806747436,-19.265202758789062
19,-19.279633045196533,-19.265203186035155
20,-19.28003087043762,-19.265203796386718
21,-19.280695462226866,-19.265203918457033
22,-19.27963309288025,-19.265204162597655
23,-19.279651165008545,-19.265204650878907
24,-19.280118942260742,-19.265204772949218
25,-19.27944188117981,-19.26520520019531
26,-19.280227303504944,-19.265205322265626
27,-19.28010947704315,-19.265205322265626
28,-19.280217552185057,-19.26520556640625
29,-19.27993998527527,-19.265205505371092
30,-19.280111384391784,-19.265205444335937
31,-19.280427742004395,-19.26520538330078
32,-19.279737567901613,-19.265205322265626
33,-19.28026976585388,-19.26520556640625
34,-19.279530000686645,-19.265205444335937
35,-19.28046770095825,-19.265205627441407
36,-19.27981526851654,-19.26520556640625
37,-19.280252504348756,-19.265205810546874
38,-19.280141878128052,-19.26520593261719
39,-19.279910564422607,-19.265205810546874
40,-19.280122590065,-19.26520593261719
41,-19.280107831954957,-19.2652060546875
42,-19.280386996269225,-19.265205810546874
43,-19.27978401184082,-19.265205810546874
44,-19.280053305625916,-19.265205810546874
45,-19.280209493637084,-19.26520587158203
46,-19.28036422729492,-19.26520593261719
47,-19.28019709587097,-19.265205627441407
48,-19.28020966053009,-19.2652060546875
49,-19.280209732055663,-19.26520593261719
50,-19.280209708213807,-19.26520593261719
51,-19.280209803581236,-19.26520587158203
