epoch,train_loss,val_loss
1,-15.531797814369202,-19.169379333496092
2,-19.167632389068604,-19.26201727294922
3,-19.261755514144898,-19.265211975097657
4,-19.27752604484558,-19.266059204101563
5,-19.28523404598236,-19.26630224609375
6,-19.291619110107423,-19.26635711669922
7,-19.29128031730652,-19.266428283691408
8,-19.293240857124328,-19.26644549560547
9,-19.293794655799864,-19.266460754394533
10,-19.293759083747865,-19.266421997070314
11,-19.294394636154173,-19.26639892578125
12,-19.29511911869049,-19.26644226074219
13,-19.294140410423278,-19.266462524414063
14,-19.294941544532776,-19.266453552246094
15,-19.294779419898987,-19.26644580078125
16,-19.294828796386717,-19.266406372070314
17,-19.295226097106934,-19.266404724121095
18,-19.29538049697876,-19.266428283691408
19,-19.295927429199217,-19.266448974609375
20,-19.296627783775328,-19.266458129882814
21,-19.295805978775025,-19.266459716796874
22,-19.29536406993866,-19.266340576171874
23,-19.29553852081299,-19.266444274902344
