epoch,train_loss,val_loss
1,-12.204854454040527,-1.6822513818740845
2,-12.573593399047851,-1.69372652053833
3,-12.794038856506347,-1.7069361019134521
4,-13.015690902709961,-1.7204632711410524
5,-13.394341499328613,-1.7358682823181153
6,-13.699278610229491,-1.7506031608581543
7,-13.918264114379882,-1.7679482460021974
8,-14.09166275024414,-1.785097026824951
9,-14.690959045410157,-1.8032539987564087
10,-14.667487449645996,-1.8222544240951537
11,-14.877314224243165,-1.8434117603302003
12,-15.194614776611328,-1.8657363891601562
13,-15.44161329650879,-1.8881344985961914
14,-15.498211158752442,-1.9111049270629883
15,-15.749567108154297,-1.9345322608947755
16,-15.874332580566406,-1.9619313621520995
17,-16.064080268859865,-1.987597017288208
18,-16.3063934173584,-2.013891758918762
19,-16.440655319213867,-2.040970139503479
20,-16.60173334503174,-2.0734722137451174
