epoch,train_loss,val_loss
1,-12.776632095336915,-10.220810813903809
2,-13.830617507934571,-15.398694038391113
3,-16.15136767578125,-18.65300537109375
4,-18.17321780395508,-19.163160552978514
5,-18.796039947509765,-19.20130844116211
6,-19.014477416992186,-19.208199081420897
7,-19.08136442565918,-19.210918960571288
8,-19.088046447753907,-19.211888198852538
9,-19.121831954956054,-19.21231346130371
10,-19.159401336669923,-19.212484436035155
11,-19.16321838378906,-19.21255569458008
12,-19.16605029296875,-19.21258529663086
13,-19.14730451965332,-19.212599029541014
14,-19.156626602172853,-19.212606811523436
15,-19.166622711181642,-19.212610092163086
16,-19.1598971862793,-19.212613677978517
17,-19.154815551757814,-19.21261672973633
18,-19.180977767944334,-19.212620162963866
19,-19.170418731689452,-19.212622833251952
20,-19.165367935180665,-19.21262451171875
