epoch,train_loss,val_loss
1,-19.331319046020507,-19.391783981323243
2,-19.284450286865233,-19.39179412841797
3,-19.25848843383789,-19.39180206298828
4,-19.209089126586914,-19.39180892944336
5,-19.14215200805664,-19.391815185546875
6,-19.214317016601562,-19.391822357177734
7,-19.274366271972657,-19.39182922363281
8,-19.060407135009765,-19.391834564208985
9,-19.18252459716797,-19.391840515136717
10,-19.164225738525392,-19.391845703125
11,-19.15648294067383,-19.391849822998047
12,-19.064492568969726,-19.391852569580077
13,-19.148468917846678,-19.391855545043946
14,-19.202137115478514,-19.391857681274413
15,-19.227169158935546,-19.39186080932617
16,-19.112809661865235,-19.39186340332031
17,-19.18669821166992,-19.391866302490236
18,-19.194819274902343,-19.39186813354492
19,-19.22125076293945,-19.391870346069336
20,-19.243978729248045,-19.391871643066406
