epoch,train_loss,val_loss
1,-12.75577279663086,-10.25328197479248
2,-13.836032531738281,-15.40181453704834
3,-16.15297578430176,-18.63300796508789
4,-18.156853332519532,-19.16159782409668
5,-18.787350402832033,-19.20084930419922
6,-19.00587026977539,-19.20805191040039
7,-19.073463745117188,-19.210642166137696
8,-19.079165924072267,-19.211735763549804
9,-19.114506561279295,-19.2121337890625
10,-19.153328598022462,-19.212373504638673
11,-19.158627807617187,-19.212460556030273
12,-19.162338348388673,-19.21258270263672
13,-19.144757598876954,-19.212643814086913
14,-19.154531784057617,-19.212774963378905
15,-19.165038528442384,-19.212776870727538
16,-19.158882263183592,-19.212781372070314
17,-19.15385482788086,-19.212762756347658
18,-19.180062286376952,-19.212776336669922
19,-19.169808319091796,-19.212791748046875
20,-19.164696502685548,-19.212818374633787
