epoch,train_loss,val_loss
1,-12.34329296875,-6.25527982711792
2,-12.720695640563966,-7.331347141265869
3,-13.13805313873291,-8.759135055541993
4,-13.439773582458496,-10.161684875488282
5,-14.266260452270508,-11.429076614379882
6,-14.762265655517577,-12.672554473876954
7,-15.295585891723633,-13.873383598327637
8,-15.811502281188965,-15.12406452178955
9,-16.387535858154298,-16.30314266204834
10,-16.75620706176758,-17.02128677368164
11,-17.255591873168946,-17.736396102905275
12,-17.722735778808595,-18.16386131286621
13,-17.865545791625976,-18.592960510253906
14,-18.08330044555664,-18.877278518676757
15,-18.30755627441406,-18.999864044189454
16,-18.55172073364258,-19.038135528564453
17,-18.67674850463867,-19.046970977783204
18,-18.709310974121095,-19.04865264892578
19,-18.72435220336914,-19.049537506103515
20,-18.87056932067871,-19.049790878295898
