epoch,train_loss,val_loss
1,-12.358954811096192,-5.40506559753418
2,-12.823709440231323,-7.7131524047851565
3,-13.40605248451233,-10.55998373413086
4,-14.350959491729736,-13.938362731933594
5,-16.043220376968385,-17.067450988769533
6,-18.341730995178224,-19.263180358886718
7,-19.216886291503908,-19.26387286376953
8,-19.23525215148926,-19.263818298339842
9,-19.23778070449829,-19.263884643554686
10,-19.238342151641845,-19.26387127685547
11,-19.239506244659424,-19.263903259277345
12,-19.239404830932617,-19.263905212402342
13,-19.239982471466064,-19.26389404296875
14,-19.23956853866577,-19.263901550292967
15,-19.239398155212402,-19.26390936279297
16,-19.239389877319336,-19.263909301757813
17,-19.23932991027832,-19.263916931152345
18,-19.23928882598877,-19.263917358398437
19,-19.239698905944824,-19.263920532226564
20,-19.239791679382325,-19.263919006347656
21,-19.239655895233156,-19.263922485351564
22,-19.23961326599121,-19.263920837402345
23,-19.239808120727538,-19.263920349121094
24,-19.239333782196045,-19.263920654296875
25,-19.239713954925538,-19.263922180175783
26,-19.239815711975098,-19.263922912597657
27,-19.23976234436035,-19.263923400878905
28,-19.24002820968628,-19.263923095703124
29,-19.239793338775634,-19.263923156738283
30,-19.23978567123413,-19.26392547607422
31,-19.239501190185546,-19.26392541503906
32,-19.239775238037108,-19.263926025390624
33,-19.23981092453003,-19.26392419433594
34,-19.23982769012451,-19.26392541503906
35,-19.23979730606079,-19.263925659179687
36,-19.239182300567627,-19.263926574707032
37,-19.23981527328491,-19.263926818847658
38,-19.23982151031494,-19.26392639160156
39,-19.239820175170898,-19.263925659179687
40,-19.239783573150635,-19.26392529296875
41,-19.239817905426026,-19.26392498779297
42,-19.239938945770263,-19.263926208496095
43,-19.23954698562622,-19.263926635742187
44,-19.239828605651855,-19.263926330566406
45,-19.23981876373291,-19.263926452636717
46,-19.23963949203491,-19.263926818847658
47,-19.239725399017335,-19.26392596435547
