epoch,train_loss,val_loss
1,-16.584063138961792,-19.290642150878906
2,-19.205294284820557,-19.308310241699218
3,-19.249784736633302,-19.310230834960937
4,-19.26398178100586,-19.310770202636718
5,-19.268901576995848,-19.31097283935547
6,-19.2695009803772,-19.310982849121093
7,-19.27033206939697,-19.311062255859376
8,-19.272730827331543,-19.311089416503908
9,-19.274113693237304,-19.311086853027344
10,-19.27378444671631,-19.311084777832033
11,-19.274763679504396,-19.311091918945312
12,-19.275340938568114,-19.31107873535156
13,-19.27365016937256,-19.311102600097655
14,-19.273957920074462,-19.311080200195313
15,-19.274380474090577,-19.31109552001953
16,-19.274342041015625,-19.311091186523438
17,-19.274349975585938,-19.31104968261719
18,-19.27492073059082,-19.311075744628905
19,-19.27475721359253,-19.311084777832033
20,-19.274725742340088,-19.311061645507813
21,-19.27478210449219,-19.31106658935547
22,-19.27461154937744,-19.311095581054687
23,-19.27496295928955,-19.311037414550782
