epoch,train_loss,val_loss
1,-12.329293870925904,-6.220853942871094
2,-12.874309711456299,-8.984470001220703
3,-13.62556776046753,-12.632192321777344
4,-15.192550010681153,-17.509644775390626
5,-18.10156801223755,-19.188601135253908
6,-19.087097759246827,-19.191224365234376
7,-19.123082122802735,-19.191359497070312
8,-19.132493114471437,-19.191383422851562
9,-19.133632259368895,-19.1913955078125
10,-19.135105381011964,-19.19140417480469
11,-19.135711078643798,-19.191409545898438
12,-19.136596355438233,-19.191405090332033
13,-19.135942935943604,-19.191402709960936
14,-19.136718196868898,-19.19140985107422
15,-19.136783905029297,-19.191410522460938
16,-19.13622127532959,-19.191409606933593
17,-19.136481437683106,-19.191412353515624
18,-19.136398696899413,-19.191410034179686
19,-19.136326942443848,-19.19141015625
20,-19.136416339874266,-19.19141162109375
21,-19.13658721923828,-19.191410278320312
22,-19.136272296905517,-19.19141094970703
23,-19.136836967468263,-19.191411010742186
24,-19.13617084503174,-19.191413208007813
25,-19.13654640197754,-19.191413391113283
26,-19.136870155334474,-19.191412841796875
27,-19.13646152496338,-19.191412963867187
28,-19.13656286239624,-19.191413208007813
29,-19.1365584564209,-19.19141357421875
30,-19.13654062271118,-19.191413330078124
31,-19.136548805236817,-19.191413146972657
32,-19.136572856903076,-19.19141345214844
33,-19.136564292907714,-19.191413391113283
34,-19.13658500671387,-19.191413818359376
35,-19.136572036743164,-19.191413391113283
36,-19.136582355499268,-19.191413208007813
37,-19.13657796859741,-19.191413818359376
38,-19.136563758850098,-19.19141345214844
39,-19.13627555847168,-19.19141375732422
40,-19.13656312942505,-19.19141375732422
41,-19.136572742462157,-19.19141345214844
42,-19.13657217025757,-19.19141345214844
43,-19.136553363800047,-19.191413391113283
44,-19.13658884048462,-19.191413208007813
