method,selection_mode,K,Nx,Ny,N,n_active,W_lambda_x,W_lambda_y,Pmax_dBm,distance_km,seed,train_samples,val_samples,test_samples,epochs,batch_size,gpt2_layers,d_mha,mha_heads,test_sum_rate
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,10000,2000,1000,200,100,6,768,8,19.243755340576172
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,10000,2000,1000,200,100,6,768,8,19.06564013671875
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260606,10000,2000,1000,200,100,6,768,8,19.239858520507813
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,10000,2000,1000,200,100,6,768,8,19.2691650390625
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,10000,2000,1000,200,100,6,768,8,19.196619140625
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260607,10000,2000,1000,200,100,6,768,8,19.347154296875
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,10000,2000,1000,200,100,6,768,8,19.336118698120117
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,10000,2000,1000,200,100,6,768,8,19.357414184570313
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260608,10000,2000,1000,200,100,6,768,8,19.280680541992187
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,10000,2000,1000,200,100,6,768,8,19.313486099243164
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,10000,2000,1000,200,100,6,768,8,19.399681518554686
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260609,10000,2000,1000,200,100,6,768,8,19.283940185546875
random,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,10000,2000,1000,200,100,6,768,8,19.17821502685547
transformer,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,10000,2000,1000,200,100,6,768,8,19.282059814453124
proposed,hard,3,4,4,16,4,2.0,2.0,20.0,0.2,20260610,10000,2000,1000,200,100,6,768,8,19.370405517578124
