epoch,train_loss,val_loss
1,-12.074431505203247,-19.228744750976563
2,-12.633420858383179,-19.32122442626953
3,-13.659807195663452,-19.321265991210936
4,-15.189562072753906,-19.176328186035157
5,-16.738090982437132,-19.176351257324217
6,-17.917503337860108,-19.17632794189453
7,-18.67515911102295,-19.175930908203124
8,-19.048212966918946,-19.176180480957033
9,-19.145402088165284,-19.175643615722656
10,-19.167593479156494,-19.175616149902343
11,-19.175317249298097,-19.175178466796876
12,-19.18663818359375,-19.17491027832031
13,-19.188195095062255,-19.1744248046875
