epoch,train_loss,val_loss
1,-12.010223045349122,-19.22005419921875
2,-12.535342254638671,-19.2201259765625
3,-13.39080496788025,-19.220138366699217
4,-15.25577841758728,-19.219983520507814
5,-17.592450523376463,-19.220012268066405
6,-18.630452861785887,-19.22006201171875
7,-18.980541610717772,-19.21986315917969
8,-19.099870471954347,-19.21951904296875
9,-19.145635585784913,-19.219558166503905
10,-19.172594833374024,-19.21864758300781
11,-19.174017391204835,-19.218902282714843
12,-19.186491260528566,-19.21935662841797
13,-19.192182960510255,-19.21935675048828
