epoch,train_loss,val_loss
1,-15.493890981674195,-19.305545959472656
2,-19.201506195068358,-19.30557635498047
3,-19.263829669952393,-19.305578125
4,-19.2768768119812,-19.305571533203125
5,-19.282249240875245,-19.305558959960937
6,-19.28599479675293,-19.30546356201172
7,-19.287986450195312,-19.305551513671876
8,-19.289064502716066,-19.30548583984375
9,-19.289220027923584,-19.305557373046874
10,-19.290077362060547,-19.305491271972656
11,-19.289932041168214,-19.30542712402344
12,-19.290789203643797,-19.305575805664063
13,-19.290750102996824,-19.3054794921875
