epoch,train_loss,val_loss
1,-13.283696250915527,-19.45779640197754
2,-16.691938003540038,-19.4596305847168
3,-18.6391124420166,-19.460196075439452
4,-18.955561126708986,-19.46191795349121
5,-19.025167251586915,-19.49052803039551
6,-19.07511827087402,-19.472373809814453
7,-19.102975326538086,-19.46458511352539
8,-19.098698013305665,-19.481983795166016
9,-19.105203048706056,-19.501246337890624
10,-19.12751089477539,-19.498625411987305
11,-19.123042266845705,-19.487441787719728
12,-19.131355377197266,-19.502510757446288
13,-19.137112579345704,-19.504047927856444
14,-19.137128280639647,-19.506950912475585
15,-19.14297833251953,-19.49928810119629
16,-19.146849670410155,-19.50651336669922
17,-19.146153533935546,-19.5099560546875
18,-19.152256469726563,-19.51241226196289
19,-19.15801774597168,-19.51191955566406
20,-19.14525666809082,-19.51415138244629
