method     , selection_mode, K, Nx, Ny, N , n_active, W_lambda_x, W_lambda_y, Pmax_dBm, distance_km, seed    , train_samples, val_samples, test_samples, epochs, batch_size, gpt2_layers, d_mha, mha_heads, test_sum_rate
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.093992233276367
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.08549285888672
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.476861038208007
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.28162384033203
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.34698211669922
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.001605453491212
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.348060607910156
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.682222137451173
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.086789169311523
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.395021438598633
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.351141357421874
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.243591995239257
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 19.119243621826172
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 19.21722381591797
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 19.179278106689452
