epoch,train_loss,val_loss
1,-12.812808624267578,-18.978288955688477
2,-13.903205627441407,-18.974499969482423
3,-15.63009309387207,-18.972844924926758
4,-17.36015983581543,-19.43287857055664
5,-18.28592626953125,-19.42460464477539
6,-18.752764739990234,-19.428282318115233
7,-18.942607849121092,-19.432858963012695
8,-18.987579711914062,-19.4374560546875
9,-19.060985763549805,-19.426131744384765
10,-19.061101196289062,-19.437490997314452
11,-19.054387512207033,-19.42914825439453
12,-19.094728088378908,-19.426998596191407
13,-19.092594146728516,-19.430647888183593
14,-19.106842987060546,-19.433353576660156
15,-19.11022425842285,-19.42090316772461
16,-19.098591400146486,-19.424029846191406
17,-19.119154052734373,-19.43387367248535
18,-19.112345703125,-19.42629898071289
19,-19.095375061035156,-19.42934631347656
20,-19.120599060058595,-19.432161178588867
