epoch,train_loss,val_loss
1,-12.017632926940918,-19.595995178222655
2,-12.62844010925293,-19.681887969970703
3,-12.995099266052247,-19.682115173339845
4,-13.288333633422852,-19.26424560546875
5,-13.817151992797852,-19.264236831665038
6,-14.349891799926757,-19.35570053100586
7,-14.66545403289795,-19.11720802307129
8,-15.293713043212891,-19.117186279296874
9,-16.097807174682618,-19.333697891235353
10,-16.567604263305665,-19.392294616699218
11,-17.022018615722658,-19.21352767944336
12,-17.543043212890623,-19.213530197143555
13,-17.955643630981445,-19.213540496826173
