epoch,train_loss,val_loss
1,-12.53207305908203,-19.48890754699707
2,-13.809628845214844,-19.697925796508787
3,-15.970441329956055,-19.60973678588867
4,-17.611920181274414,-19.612393341064454
5,-18.550822143554687,-19.615834045410157
6,-18.860129135131835,-19.618636169433593
7,-18.947019119262695,-19.61235954284668
8,-19.007224090576173,-19.60599426269531
9,-19.028257141113283,-19.602803039550782
10,-19.067631042480468,-19.609191360473634
11,-19.06911557006836,-19.610881042480468
12,-19.075905670166016,-19.61455795288086
