epoch,train_loss,val_loss
1,-19.30509069824219,-19.120428466796874
2,-19.259179962158203,-19.12060256958008
3,-19.19995199584961,-19.12076332092285
4,-19.212357818603515,-19.12092041015625
5,-19.241985305786134,-19.1210652923584
6,-19.161187866210938,-19.121204986572266
7,-19.3939287109375,-19.121336822509765
8,-19.252057067871092,-19.121455841064453
9,-19.224114990234376,-19.121566314697265
10,-19.300120300292967,-19.12166404724121
11,-19.032819610595702,-19.121757354736328
12,-19.034486953735353,-19.121846008300782
13,-19.197153381347658,-19.121927185058595
14,-19.36085949707031,-19.122007141113283
15,-19.22055027770996,-19.122082290649413
16,-19.21827699279785,-19.12214813232422
17,-19.274613388061525,-19.122213439941405
18,-19.20830953979492,-19.12227310180664
19,-19.188601196289063,-19.122328643798827
20,-19.189717666625977,-19.122379760742188
