method     , selection_mode, K, Nx, Ny, N , n_active, W_lambda_x, W_lambda_y, Pmax_dBm, distance_km, seed    , train_samples, val_samples, test_samples, epochs, batch_size, gpt2_layers, d_mha, mha_heads, test_sum_rate
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.177417755126953
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.37673225402832
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260606,          1000,         200,          200,     20,         16,           2,   128,         4, 19.198971633911132
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.102201461791992
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.355407333374025
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260607,          1000,         200,          200,     20,         16,           2,   128,         4, 19.37491470336914
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.456623077392578
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.156615524291993
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260608,          1000,         200,          200,     20,         16,           2,   128,         4, 19.18331642150879
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.24589729309082
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.171226654052735
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260609,          1000,         200,          200,     20,         16,           2,   128,         4, 19.321971130371093
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 19.010740280151367
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 18.995661010742186
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260610,          1000,         200,          200,     20,         16,           2,   128,         4, 19.147650756835937
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260611,          1000,         200,          200,     20,         16,           2,   128,         4, 19.242042541503906
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260611,          1000,         200,          200,     20,         16,           2,   128,         4, 19.148665466308593
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260611,          1000,         200,          200,     20,         16,           2,   128,         4, 18.75907730102539
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260612,          1000,         200,          200,     20,         16,           2,   128,         4, 18.89649200439453
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260612,          1000,         200,          200,     20,         16,           2,   128,         4, 19.3660066986084
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260612,          1000,         200,          200,     20,         16,           2,   128,         4, 19.492529220581055
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260613,          1000,         200,          200,     20,         16,           2,   128,         4, 19.020387649536133
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260613,          1000,         200,          200,     20,         16,           2,   128,         4, 19.062696228027345
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260613,          1000,         200,          200,     20,         16,           2,   128,         4, 19.078097381591796
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260614,          1000,         200,          200,     20,         16,           2,   128,         4, 19.403335571289062
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260614,          1000,         200,          200,     20,         16,           2,   128,         4, 19.308713455200195
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260614,          1000,         200,          200,     20,         16,           2,   128,         4, 19.401175689697265
random     , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260615,          1000,         200,          200,     20,         16,           2,   128,         4, 19.349275588989258
transformer, hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260615,          1000,         200,          200,     20,         16,           2,   128,         4, 19.13074607849121
proposed   , hard          , 3,  4,  4, 16,        4,        2.0,        2.0,     20.0,         0.2, 20260615,          1000,         200,          200,     20,         16,           2,   128,         4, 19.194518966674806
