epoch,train_loss,val_loss
1,-11.999241645812988,-19.51844985961914
2,-12.567454803466797,-19.518856201171875
3,-12.9190841217041,-19.518901901245115
4,-13.257265335083007,-19.51891044616699
5,-13.74958805847168,-19.388157806396485
6,-14.264908981323241,-19.388214569091797
7,-14.973011032104493,-18.784523162841797
8,-15.545923774719238,-18.784547958374024
9,-16.5563738861084,-18.784677505493164
10,-17.27615637207031,-18.78456703186035
11,-17.696538711547852,-18.78442741394043
12,-18.102687759399416,-18.784623260498048
13,-18.401078720092773,-18.784458770751954
14,-18.61465966796875,-18.784294662475585
15,-18.644483932495117,-18.784400177001952
16,-18.833195190429688,-18.784460220336914
17,-18.88147541809082,-18.784556579589843
18,-18.973067260742187,-18.784432373046876
19,-19.009631240844726,-18.784548263549805
20,-18.973440383911132,-18.784511642456053
