epoch,train_loss,val_loss
1,-12.724247756958007,-19.29322914123535
2,-15.290319610595704,-19.18589385986328
3,-17.736648559570312,-19.2054158782959
4,-18.643820678710938,-19.208413619995117
5,-18.772867111206054,-19.23499626159668
6,-18.84816014099121,-19.236659545898437
7,-18.87665417480469,-19.25801208496094
8,-18.890913681030273,-19.279986801147462
9,-18.903547622680666,-19.27138473510742
10,-18.91713833618164,-19.292427978515626
11,-18.91429689025879,-19.292893295288085
12,-18.94109747314453,-19.301356582641603
13,-18.950859924316408,-19.294486389160156
14,-18.932516815185547,-19.291537857055665
15,-18.938001205444337,-19.292283172607423
16,-18.936333114624023,-19.27786735534668
17,-18.944264602661132,-19.288009185791015
18,-18.942388854980468,-19.297832717895506
19,-18.951107330322266,-19.305936279296876
20,-18.947148971557617,-19.296842803955077
