epoch,train_loss,val_loss
1,-12.578197723388671,-19.05738456726074
2,-13.81020785522461,-19.401868896484373
3,-16.00741584777832,-18.999353256225586
4,-17.557569946289064,-19.06127510070801
5,-18.262145263671876,-19.026218795776366
6,-18.719536239624023,-19.05781349182129
7,-18.86221517944336,-19.06548942565918
8,-18.938637283325196,-19.04450065612793
9,-18.96116323852539,-19.03629768371582
10,-18.946440155029297,-19.02269577026367
11,-18.964116943359375,-19.05682029724121
12,-18.985885803222658,-19.036075744628906
13,-18.98081851196289,-19.071835708618163
14,-19.008720184326172,-19.10076484680176
15,-19.000583587646485,-19.092934188842772
16,-19.00440756225586,-19.10136291503906
17,-19.00428924560547,-19.098638153076173
18,-19.01263815307617,-19.09824249267578
19,-19.02625454711914,-19.090109939575196
20,-19.00985614013672,-19.0757421875
